formula,2Dpfx,2Dpfy,area,CBM_GW,CBM_HSE06,CBM,Dgap_gw,Dgap_HSE06,Dgap_WSOC,Dgap,EBE,Eng,gp_gw,gp_HSE06,GWSOC,VBM_gw,VBM_HSE06,VBM,VL,VBM_HSE06-VL,CBM_HSE06-VL,TDSL
Fe2O5S1Te1,3.433606111,6.232803333,24.849955,-1.429211639,-2.269766667,-3.456007143,4.563470556,3.6234625,2.284265833,2.41621,1.563565,-53.46426111,4.067,4.004978889,2.325524167,-5.567583333,-6.230734583,-5.207301667,1.941005238,-8.171739821,-4.210771905,3.0
Fe2O1Se1Te5,5.360783278,8.163447222,39.451935,-0.419334514,-1.567325556,-1.825731905,2.558560556,1.787406667,1.185804833,0.925403333,0.91,-40.43576111,2.501256667,1.729547222,1.221620833,-2.805990667,-3.18183,-2.870531111,3.12850381,-6.31033381,-4.695829365,3.0
Fe2O1Se2Te4,5.260111611,7.992987778,38.732735,-0.430012597,-1.551763333,-1.841104286,2.551154444,1.932744167,1.259536667,0.807003333,0.919591667,-41.37532167,2.561446667,1.833393333,1.243437083,-2.865396,-3.353290833,-2.892161667,3.137965714,-6.491256548,-4.689729048,3.0
Fe2O1Se3Te3,4.822097778,8.382326111,36.666475,-0.448261,-1.53704,-1.999939524,2.701936667,2.0053025,1.230591333,0.815855,0.930745556,-41.97577333,2.571816667,1.896916111,1.196890417,-3.002451333,-3.592922083,-3.254013889,3.030411048,-6.623333131,-4.567451048,3.0
Fe2O1Se4Te2,4.910412778,7.854333333,35.480245,-0.487088236,-1.552662778,-2.173055714,2.915918333,2.27331,1.343357333,1.212955,1.036581111,-43.54781222,2.641796667,2.204979444,1.281542083,-3.251528,-3.770762917,-3.533283889,2.561143333,-6.33190625,-4.113806111,3.0
Fe2O1Se5Te1,4.794782778,8.037575,33.377025,-0.483769708,-1.478926111,-2.186107143,3.016041111,2.301865,1.366498,1.223976667,1.066896667,-44.28409944,2.674246667,2.198030556,1.48077125,-3.312834667,-3.836207083,-3.672690556,2.604240476,-6.44044756,-4.083166587,3.0
Fe2O2Se1Te4,4.992783611,7.974507778,37.28526,-0.596894819,-1.418000556,-2.029412381,2.90379,2.0810225,1.348288667,1.08437,1.075615,-42.91040944,2.615506667,1.964244444,1.21228375,-3.126712,-3.666400417,-3.281073333,3.03555381,-6.701954226,-4.453554365,3.0
Fe2O2Se2Te3,4.825136944,8.000237778,36.05089667,-0.592656306,-1.351095,-2.135435714,2.971686667,2.196301667,1.369911333,1.148545,1.094555556,-44.10608667,2.72968,2.119842778,1.437152083,-3.197825333,-3.824716667,-3.496083333,3.041179524,-6.86589619,-4.392274524,3.0
Fe2O2Se3Te2,4.463407778,7.553915,32.67685,-0.584483139,-1.446156111,-2.326512857,3.204184444,2.426354167,1.514653667,1.288966667,1.135653889,-45.06659056,2.72633,2.433616111,1.523190417,-3.528674,-4.09255625,-3.941152222,2.578415238,-6.670971488,-4.024571349,3.0
Fe2O2Se4Te1,4.229437778,7.438545,31.479015,-0.647771514,-1.226879444,-2.409657143,3.202072222,2.5309525,1.567503,1.44088,1.137705556,-46.63652111,2.688083333,2.43855,1.653097917,-3.588639333,-4.208450833,-4.102371667,2.638047143,-6.846497976,-3.864926587,3.0
