formula,2Dpfx,2Dpfy,area,CBM_GW,CBM_HSE06,CBM,Dgap_gw,Dgap_HSE06,Dgap_WSOC,Dgap,EBE,Eng,gp_gw,gp_HSE06,GWSOC,VBM_gw,VBM_HSE06,VBM,VL,TDSL
VS,6.55490827777778,5.9742941111111145,12.657257333333336,-0.5737936527777774,-0.6972005555555554,-0.7927757142857136,3.3645055555555587,1.6699554166666664,1.2355833333333337,1.1221416666666668,1.228105,-10.64962166666666,3.207383333333332,1.638818333333333,1.2913273333333333,-3.773101333333333,-2.020156249999999,-1.754456111111112,2.9427684285714277,2.0
VSe,6.562505888888892,6.203696777777776,12.755263499999998,-0.4458763749999999,-0.502503888888889,-0.7148976190476186,3.088836666666668,1.2389004166666664,1.0577241666666672,0.988186,1.0859683333333336,-9.789614629629623,2.7371633333333336,1.2535405555555552,1.0224841666666662,-3.549959333333333,-1.702120416666667,-1.4877483333333332,3.05015976190476,2.0
VTe,7.060905555555558,7.367038333333333,13.981321333333335,-0.2305368333333332,-0.1889183333333332,-0.5415385714285713,2.8443505555555566,0.90988375,0.9044279000000004,0.8193636666666666,0.6611916666666665,-8.993250740740734,2.729156666666667,1.1131786111111108,0.9255980833333328,-3.235857999999999,-1.1235779166666675,-1.0661988888888876,3.1720450952380945,2.0
NbO,8.01676588888889,6.791125111111111,12.229624,-0.1398634166666666,0.254905,-0.0305566666666667,3.518112777777781,1.90222875,1.6987761,1.400392,1.6084633333333334,-13.842930740740735,3.482343333333334,1.4347966666666665,1.3354463333333328,-3.989524666666665,-0.5774304166666667,-0.8067638888888887,3.703966952380948,2.0
NbS,7.1604350000000005,6.547972277777782,13.544644166666664,-0.2927955972222222,-0.0901044444444444,-0.0051004761904761,2.5285266666666675,1.0531275,1.1647321000000008,1.06083,1.1103850000000006,-10.625629074074064,2.722143333333333,1.0677897222222217,1.0155951666666665,-3.314490000000001,-0.6124183333333333,-0.5150500000000006,4.073364809523807,2.0
NbSe,7.447159944444445,7.214793333333331,13.608754333333335,-0.0268533194444444,0.0723333333333333,0.0541780952380952,2.460804444444445,1.1224562499999995,1.019559033333334,0.8070766666666667,0.9635933333333336,-10.155803888888885,2.312933333333333,1.0033669444444444,0.8975891666666663,-3.081413333333335,-0.4296454166666664,-0.3893511111111113,4.334310666666664,2.0
NbTe,8.329644166666668,7.843661222222222,14.327106999999998,0.0694137361111111,0.3130166666666666,0.09385,2.3262433333333368,1.00547625,0.9343507666666668,0.7456893333333329,0.6182466666666664,-9.842018518518511,2.4451366666666674,0.9971136111111112,0.8591580833333333,-2.831265333333333,0.0970174999999998,-0.0839677777777777,4.535214904761902,2.0
TaO,7.82979638888889,7.251885611111108,12.548165333333332,0.0201197916666667,0.3580644444444444,0.2620099999999999,3.655550000000002,1.8924545833333333,1.8512809666666648,1.5651816666666665,1.4380466666666667,-13.257040555555552,3.6426566666666673,1.28898611111111,1.551879333333333,-4.017634666666663,-0.6032908333333338,-0.5116566666666666,3.9865126666666617,2.0
TaS,7.800869166666665,7.178834888888888,13.718595666666666,-0.096703611111111,0.0867183333333333,0.3722399999999999,2.503386666666666,1.1996108333333335,1.2107769333333336,1.2449969999999997,0.9675466666666664,-10.78632037037036,2.799296666666667,1.261437222222222,1.066987666666667,-3.3322060000000016,-0.3916724999999996,-0.250698888888889,4.404356238095235,2.0
TaSe,8.101423166666669,7.410453333333332,13.67683516666667,-0.0019465138888888,0.2695472222222222,0.4165966666666666,2.473350555555556,1.136125416666666,1.0930152000000002,0.8864376666666668,0.9006466666666662,-10.579762407407404,2.464776666666666,1.1403036111111111,0.9817861666666664,-3.1530313333333337,-0.1762920833333332,-0.0479483333333333,4.642862285714284,2.0
TaTe,8.422746000000004,8.40326777777778,14.263622833333336,0.2796165138888886,0.5716266666666668,0.5537519047619044,2.2910088888888898,0.9085566666666668,0.9189518333333336,0.7951979999999998,0.643328333333333,-10.179067777777773,2.549700000000001,1.0519955555555554,0.9000472499999997,-2.796098666666668,0.3951658333333335,0.2032211111111107,4.799357761904767,2.0
CrO,6.453848444444444,6.031850222222222,11.254515666666665,-0.7702313611111107,-0.3370116666666666,-1.3684076190476189,4.175131111111117,2.342544583333333,1.533003466666666,1.1928266666666665,1.7321083333333342,-14.127026296296297,3.5870200000000008,1.910009444444446,1.3804993333333329,-4.449949333333331,-3.066434583333334,-2.362047222222221,2.224269809523809,2.0
CrS,6.814936388888891,5.7084395,11.756381666666671,-0.5597759861111112,-0.3386288888888888,-0.70936619047619,3.14301277777778,1.497788750000001,1.0962293666666674,1.148056,1.1457533333333336,-10.556182777777764,2.9380400000000004,1.2792622222222223,1.0965345000000004,-3.605538666666667,-2.1086875000000003,-1.8643200000000009,2.379741714285714,3.0
CrSe,6.654165500000004,5.884756388888888,12.043130333333336,-0.3699643333333334,-0.1831566666666666,-0.6389876190476186,2.8875800000000016,1.1109,0.992457966666668,1.0622906666666665,1.037981666666667,-9.76137851851851,2.3991100000000003,1.1409272222222229,0.8855900000000001,-3.367630666666667,-1.6710899999999993,-1.5231872222222216,2.408302095238093,2.0
CrTe,7.312068111111111,6.305079777777778,13.25948566666667,-0.17843225,-0.1822988888888888,-0.5766890476190472,2.6712672222222227,0.9428079166666666,0.8422154333333334,0.7927746666666667,0.6878483333333332,-9.006303703703697,2.4096200000000003,1.0657586111111117,0.880208,-3.137422,-1.2745933333333337,-1.1473555555555548,2.649193619047617,2.0
MoO,7.144500333333334,6.309247111111113,11.466101999999994,-0.1075798333333333,-0.1001711111111111,-0.7194228571428577,3.3646916666666704,1.6040670833333328,1.3228655999999996,1.1125673333333332,1.5287199999999994,-13.807996111111104,3.031146666666668,1.0293602777777775,1.0059274999999994,-3.731529333333332,-0.7425887500000005,-1.1942361111111124,3.8274175238095216,2.0
MoS,6.9115741111111095,5.892858333333335,12.1180145,-0.0222902083333333,0.1972377777777778,-0.2415799999999999,2.446659444444444,0.9252575000000004,0.8842530666666678,0.8523833333333333,1.0242283333333335,-10.835751851851844,2.1097100000000006,0.8595311111111105,0.8528558333333334,-3.194535333333336,-0.5317550000000001,-0.7905650000000004,4.244293714285711,2.0
MoSe,7.275421777777777,6.193149444444444,12.289401666666665,0.0440086944444444,0.095806111111111,-0.2290247619047618,2.3428788888888885,0.91943,0.7769511666666676,0.8906603333333333,0.9347866666666672,-10.525245185185176,1.9460300000000008,0.7959949999999995,0.7047301666666668,-2.927416,-0.3739804166666664,-0.5936933333333333,4.441932428571424,2.0
MoTe,7.929637500000002,6.868310722222223,12.793641833333332,0.0833175833333334,0.2954455555555556,-0.1007419047619044,2.2881977777777807,0.7515337500000001,0.7479035666666678,0.7037426666666663,0.6962766666666667,-10.120532592592587,2.228336666666668,0.8903149999999995,0.7379519999999999,-2.773216000000001,0.1139320833333332,-0.4233227777777779,4.559799142857141,2.0
WO,7.773051388888888,7.390247388888887,11.775813333333328,0.3538930833333332,-0.0528905555555555,-0.1570776190476187,3.492013333333335,1.5830895833333336,1.6294195,1.2218206666666664,1.254071666666667,-12.981963888888888,2.783916666666668,1.0580466666666668,1.227189499999999,-3.915374666666666,-0.7624854166666666,-0.884793888888888,4.169863238095231,2.0
WS,7.643783944444449,6.735064,12.558456333333332,0.5056761250000003,0.6847138888888888,0.5984642857142851,2.429270555555554,1.110038333333334,1.0620437000000005,1.0164046666666666,0.9526983333333334,-10.95679185185184,2.1521133333333333,1.0278005555555556,0.9619695,-3.157756000000003,-0.4871120833333334,-0.5975150000000001,4.57181142857143,2.0
WSe,7.585906277777783,6.473929388888889,12.524607333333334,0.7118522638888891,0.8311611111111111,0.6695638095238085,2.399998333333332,0.9776320833333334,0.9253257333333342,0.8412369999999999,0.8982133333333335,-10.780329444444437,2.061973333333334,0.908478055555555,0.818162,-2.920804000000003,-0.1518725,-0.3168416666666663,4.79069942857143,2.0
WTe,7.966151833333339,7.163481833333332,13.197571666666663,0.7041839722222225,1.026555,0.5987519047619037,2.134163888888889,0.7870629166666664,0.7562092000000008,0.6784793333333333,0.7518150000000005,-10.38123466666666,1.9911666666666668,0.9563655555555556,0.7632881666666664,-2.7638120000000024,0.518956666666667,-0.0693544444444444,4.873443380952384,1.0
MnO,5.755573611111112,5.469422722222225,11.995103333333338,-0.8392219027777782,-0.9519777777777776,-1.546585238095237,4.994407777777782,2.874099166666665,1.579379433333334,1.357585,1.664723333333333,-12.962232592592583,4.707606666666667,2.2015038888888903,1.4545435,-5.162056666666664,-3.442172083333334,-2.754999444444442,2.1194074285714284,2.0
MnS,6.190633166666669,4.977487111111112,12.647853333333336,-0.706993944444445,-0.6208800000000001,-0.9432938095238088,3.6737611111111095,1.6658725000000003,1.5014765999999995,1.0721916666666669,1.0748866666666668,-8.61783111111111,3.5405033333333336,1.6896083333333334,1.2914671666666673,-4.061861333333332,-2.972391250000001,-2.471881666666665,2.2726980476190493,3.0
MnSe,6.185104888888892,5.413114055555555,13.64068333333334,-0.6054252361111112,-0.6043483333333334,-0.8589976190476186,3.324044444444446,1.19595,1.2290334000000005,1.166267333333333,0.9733666666666666,-8.159283481481477,2.856980000000001,1.3870252777777785,1.0675938333333337,-3.952608,-2.5943345833333336,-2.14711222222222,2.329572619047618,3.0
MnTe,7.293319777777776,6.024835277777777,15.142725333333336,-0.5130662500000001,-0.3891772222222222,-0.664345238095237,2.9349111111111137,0.8742429166666664,1.0327090666666665,0.7654496666666666,0.6517933333333334,-7.952653851851849,2.439220000000001,1.141523611111111,1.0548463333333336,-3.576259333333333,-2.082440416666667,-1.562933333333333,2.5278721904761894,1.0
TcO,6.940141000000003,6.054556555555557,11.000867000000005,-0.5071748472222217,-0.3891433333333333,-0.819755714285714,3.622539444444449,1.6895441666666668,1.2733874,0.9017299999999996,1.583268333333333,-13.674470370370368,3.227186666666668,0.9544683333333333,0.9813808333333331,-4.062164666666663,-1.237325416666667,-1.2904044444444458,3.649288333333332,2.0
TcS,6.783862166666664,5.495627944444443,11.637007166666669,-0.3977720416666666,-0.164235,-0.2867104761904762,2.643555000000001,0.8529566666666668,0.9052538333333344,0.8013989999999999,1.073391666666667,-10.682866444444436,2.4412000000000007,0.9609263888888891,0.8547374999999998,-3.395892,-0.8414237500000005,-0.7161811111111117,3.9500095714285695,2.0
TcSe,6.779012722222223,5.720253111111107,11.956148166666662,-0.2521812083333332,-0.023275,-0.1915623809523809,2.4937150000000017,0.8911345833333337,0.7859905333333339,0.8359853333333332,0.9167783333333333,-10.433088481481471,2.277200000000001,0.9182977777777772,0.7774956666666665,-3.1010260000000005,-0.5573287500000002,-0.4949244444444444,4.237159142857138,2.0
TcTe,7.116314944444445,6.354224388888888,12.697323,-0.1254630555555555,0.1894916666666666,-0.0295804761904762,2.5250816666666704,0.8296162500000004,0.7190669333333337,0.7907556666666664,0.6262466666666665,-9.670944777777772,2.076940000000001,0.923971944444444,0.7882501666666666,-2.893983333333333,-0.2043983333333333,-0.4239494444444442,4.39754119047619,2.0
ReO,7.540708499999997,6.8361554444444455,11.070107999999998,-0.0449800833333333,-0.3312338888888889,-0.4257580952380956,3.5968594444444464,1.5226587500000002,1.3313282333333334,1.0680308333333333,1.4272133333333334,-13.084671481481475,2.922253333333333,0.8908325,1.1521036666666662,-3.955968666666663,-0.9322358333333332,-0.8217483333333327,4.1590411428571405,2.0
ReS,7.508502611111114,6.266305444444444,11.714960333333329,-0.0652027222222221,0.2149094444444444,0.3162057142857145,2.451991111111109,0.91428,0.9949478666666672,0.9455606666666668,0.983428333333333,-10.381557185185171,2.2773000000000003,0.9779902777777776,0.9097204999999996,-3.233492666666669,-0.3640158333333332,-0.3410027777777776,4.563626190476187,2.0
ReSe,7.709254944444444,6.164993333333332,11.97990616666666,0.0671150833333333,0.3164488888888888,0.4063838095238097,2.478200555555556,0.9099141666666668,0.8533731000000006,0.7459273333333333,0.8752183333333328,-10.371716074074063,2.178573333333333,0.9286488888888887,0.8101989999999998,-3.009138666666669,-0.1414566666666666,-0.1579805555555556,4.759972809523806,1.0
ReTe,7.829430111111113,6.68518588888889,12.700518499999992,0.3017779027777777,0.5898733333333335,0.4317504761904762,2.205446111111114,0.7894720833333332,0.7167465000000004,0.6948683333333332,0.6247016666666662,-10.345306259259251,1.8908333333333336,0.8523658333333332,0.7794939999999998,-2.732044666666666,0.0136125,-0.10904,4.848957190476192,1.0
FeO,5.836343,5.510212666666666,10.776570666666666,-0.862264111111111,-1.3526711111111112,-2.048802857142856,4.418555555555557,2.492943333333333,1.6018438000000006,1.062231666666667,1.6653566666666668,-12.374237962962956,4.01064,1.894488888888889,1.3653993333333334,-4.886671333333328,-3.7998808333333343,-3.1736772222222185,2.1273085714285696,2.0
FeS,6.563157833333333,5.934578499999999,12.274283999999998,-0.7787707361111113,-0.6449494444444445,-1.081393333333333,3.6563472222222217,1.6475412500000004,1.2503601333333336,1.213546,1.081675,-8.162292925925925,3.2097000000000007,1.6503405555555557,1.107352833333334,-3.8990599999999977,-2.925527916666667,-2.4515966666666653,2.36137761904762,3.0
FeSe,6.603372944444445,5.681196499999996,12.957829666666669,-0.7473514444444443,-0.5998677777777777,-0.9198947619047616,3.3147333333333338,1.502377916666667,1.059273133333334,1.1297809999999997,0.9468266666666656,-7.5349505185185155,2.768330000000001,1.5262638888888898,0.9657271666666672,-3.6349586666666647,-2.591565833333332,-2.1556111111111105,2.3921138095238086,3.0
FeTe,7.087078944444449,6.150173444444443,14.323686499999996,-0.6949346944444443,-0.7031872222222225,-0.7760690476190472,2.7450588888888925,1.2279983333333329,0.9222294666666668,0.8711153333333332,0.6589283333333333,-7.013820148148147,2.4303300000000005,1.256882777777778,0.9761864166666668,-3.254818666666665,-2.236377083333334,-1.776946666666666,2.473910619047617,1.0
RuO,6.728061499999999,5.727948944444444,11.329290333333333,-0.8312064861111108,-1.3968016666666658,-1.449138571428571,3.6119022222222257,1.4901029166666668,1.129088233333334,0.8110713333333333,1.280708333333333,-12.073802037037035,3.190916666666668,0.873198611111111,0.9503014999999996,-4.049641333333332,-2.251394999999999,-1.9661677777777795,3.575804952380952,2.0
RuS,6.831800222222219,5.69757544444444,11.432352500000004,-0.628688,-0.3258183333333334,-0.4813828571428568,2.456097222222224,1.16098125,0.9411401666666676,0.8086563333333332,0.8789616666666664,-9.517136999999996,2.428080000000001,1.0424688888888891,0.9206411666666666,-3.360701333333332,-1.3100754166666666,-1.1845633333333323,3.805693619047618,2.0
RuSe,7.009275999999998,5.807592555555551,11.737175333333328,-0.480541291666667,-0.2221894444444444,-0.3175228571428572,2.350999444444445,1.0449595833333334,0.8475166666666677,0.8863653333333332,0.8225816666666665,-9.218123296296293,2.1792800000000003,1.0320941666666663,0.8614994999999999,-3.1919559999999985,-0.9772970833333328,-0.9264527777777776,4.005146047619045,2.0
RuTe,7.48747077777778,6.437573777777776,12.44512833333333,-0.4631797916666669,-0.2431083333333332,-0.3549552380952379,2.335500555555559,0.9715579166666666,0.7706767666666675,0.7880343333333332,0.6174633333333334,-8.570372740740735,2.03711,0.9826983333333332,0.8573389999999997,-3.0206733333333315,-0.8147183333333332,-0.8865750000000004,4.099324238095237,1.0
OsO,7.809058333333334,6.769247555555556,11.35702966666666,-0.3969519583333335,-0.6497822222222223,-0.7577923809523812,3.499550000000001,1.6880350000000004,1.1866321333333327,0.9685149999999996,1.0679783333333328,-11.823013888888882,2.927703333333334,1.015914722222223,1.1285026666666669,-4.020551999999999,-1.618383749999999,-1.230246111111111,4.199075428571428,2.0
OsS,7.373470444444445,6.100833666666666,11.76354683333333,-0.2024479861111111,0.1100199999999999,0.0875319047619047,2.381454444444444,1.0718754166666669,0.9425116333333334,0.9572693333333332,0.8315249999999995,-9.6002394074074,2.19666,1.167817222222222,1.001122,-3.2638353333333323,-0.9280125000000002,-0.7232505555555562,4.536114809523805,1.0
OsSe,7.569323833333333,5.872066444444443,12.014837999999996,-0.1058847499999999,0.2342622222222222,0.1174347619047618,2.313095,0.90350625,0.8980214000000001,0.8397143333333332,0.7890649999999997,-9.472549222222217,2.104943333333334,1.0288772222222222,0.8571064999999998,-3.0715086666666647,-0.6789604166666667,-0.5693888888888888,4.671942571428571,1.0
OsTe,7.7764521111111105,6.544046055555552,12.580601333333329,-0.0822247222222221,0.1598983333333333,0.0462995238095237,2.0978555555555567,0.9449804166666668,0.8380667333333337,0.8015670000000001,0.589803333333333,-8.933361259259254,1.9201333333333328,0.9822397222222214,0.8713389999999994,-2.9031466666666663,-0.5515604166666666,-0.5749949999999998,4.703090380952384,1.0
CoO,6.105050333333332,5.548301388888889,10.540237333333332,-0.735229513888888,-2.013850555555555,-2.300984761904758,4.514931666666669,2.52364,1.5495645666666658,1.027815,1.7702783333333327,-11.04529805555555,4.207086666666666,1.9426883333333345,1.3415801666666665,-4.822838666666664,-3.8662341666666658,-3.3109694444444413,2.084049999999999,2.0
CoS,6.518919055555555,5.840026388888885,12.423566,-0.8250743749999995,-1.0266983333333333,-1.6023566666666664,3.77762388888889,2.0196766666666672,1.4249830000000003,1.3417776666666663,1.1408550000000002,-6.770685370370374,3.3701133333333337,1.8644811111111104,1.2418245000000008,-4.083634666666666,-2.963199999999999,-2.6786022222222208,2.295170904761907,3.0
CoSe,6.415520166666667,5.9868280555555495,13.012700666666667,-0.8669379861111104,-1.0564433333333334,-1.480691904761906,3.38258777777778,1.8187958333333336,1.2271943,1.2712613333333331,0.9957383333333332,-6.504356111111115,3.045936666666668,1.658396944444445,1.1339288333333342,-3.785463333333333,-2.7162770833333325,-2.326845555555555,2.323890333333332,3.0
CoTe,7.344809944444444,6.427063333333329,14.339672,-0.8588498888888882,-1.0671716666666664,-1.368941904761907,2.7840988888888933,1.4279158333333328,1.040869833333334,0.9705778333333336,0.6999416666666667,-6.165276481481484,2.6732566666666675,1.36198,1.0732987500000002,-3.4194953333333302,-2.5420075000000004,-2.0461483333333343,2.3977740476190474,1.0
RhO,6.824325111111112,5.507129555555555,11.270091999999996,-1.068079152777777,-2.153404444444444,-2.0763233333333333,3.912749444444449,1.7517283333333338,1.3278558333333337,1.011225,1.482846666666666,-10.987175185185183,3.7549166666666673,1.3527522222222228,1.0840641666666666,-4.420527333333332,-3.562662500000002,-2.7551599999999983,2.896188380952378,2.0
RhS,6.931758777777777,5.676467611111106,11.962080500000004,-0.8334943055555556,-1.2100811111111107,-1.3906661904761906,2.7312800000000013,1.5519349999999996,1.0446964000000007,1.0663858333333334,0.984608333333334,-7.85156685185185,2.600946666666667,1.3291077777777782,1.0672051666666669,-3.8128953333333313,-2.4298254166666675,-1.9163205555555551,3.206877380952382,2.0
RhSe,7.051377444444445,5.923444499999999,12.020382333333332,-0.7610681111111112,-0.9265455555555552,-1.217408571428572,2.624801666666668,1.3114487499999994,0.972720833333334,1.126062,0.8798533333333338,-7.4140474074074065,2.514196666666668,1.2152411111111112,1.0408415000000004,-3.566073333333332,-2.2093687500000008,-1.751228888888887,3.197909619047619,2.0
