formula,2Dpfx,2Dpfy,area,CBM_GW,CBM_HSE06,CBM,Dgap_gw,Dgap_HSE06,Dgap_WSOC,Dgap,EBE,Eng,gp_gw,gp_HSE06,GWSOC,VBM_gw,VBM_HSE06,VBM,VL,VBM_HSE06-VL,CBM_HSE06-VL,TDSL
Fe2Se3Te4,6.292165722,8.642592222,36.633575,-0.197834208,-1.138765556,-1.456274286,2.160278333,1.334328333,0.956346933,0.733601667,0.566132778,-36.14054389,1.8225,1.332739444,0.900564333,-2.299700667,-2.574685,-2.299637778,3.223655714,-5.798340714,-4.36242127,3.0
Fe2Se4Te3,6.022816889,8.219299667,36.085995,-0.250853028,-1.200565,-1.51343,2.263588333,1.718625833,1.023886267,0.942243333,0.688132222,-37.27690611,2.01499,1.429023333,0.945281833,-2.400109333,-2.863048958,-2.586876111,3.015084286,-5.878133244,-4.215649286,3.0
Fe2Se5Te2,5.77635,8.106989667,34.517165,-0.292526944,-1.258971667,-1.575610476,2.369841667,1.756234167,1.124484267,0.912878333,0.707139444,-38.07685667,2.04718,1.507891111,1.051625583,-2.423612667,-2.97995375,-2.686691111,2.985147143,-5.965100893,-4.24411881,3.0
Fe2Se6Te1,5.770792778,8.148801333,35.602315,-0.298808069,-1.216988333,-1.586739524,2.413105,1.878756667,1.220513933,1.004575,0.766515,-39.30220333,2.10393,1.595981111,1.13157875,-2.4809,-3.009547708,-2.861621111,3.055817143,-6.065364851,-4.272805476,3.0
Ru2O1Se6,4.602525,8.268578333,33.09705,-0.378004167,-1.3606,-2.1842,2.488055,1.914608333,1.303559667,1.157725,0.868892778,-54.35934722,2.21333,1.553722778,1.167563333,-2.62665,-3.117811667,-3.220370556,2.830581905,-5.948393571,-4.191181905,3.0
Ru2O1Te6,4.611616389,8.307628889,39.175785,-0.178968236,-1.223631667,-1.806029048,1.98751,1.648518333,0.997230733,0.925505,0.701556667,-49.84201889,1.65717,1.395907222,0.865252083,-1.68839,-2.497225833,-2.330207222,3.129408571,-5.626634405,-4.353040238,3.0
Ru2O2Te5,4.381075,8.169061667,38.615505,-0.344767778,-1.32329,-1.978393333,2.254651667,1.873263333,1.110653067,1.04906,0.772470556,-51.51700778,2.09982,1.589346111,1.029341667,-2.073818,-2.8010025,-2.642091667,3.092918571,-5.893921071,-4.416208571,3.0
Ru2S4Se3,5.009005889,8.142221667,33.83742,-0.263334319,-1.056267778,-1.624100476,2.446831667,1.729324167,1.305982933,1.05417,0.876464444,-51.72617278,2.423206667,1.430546667,1.132725,-2.550994,-2.63129875,-2.813881667,3.250316667,-5.881615417,-4.306584444,3.0
Ru2S5Se2,4.901242222,7.854055,33.04691,-0.276538986,-1.047832778,-1.653972857,2.466048333,1.841204167,1.3540866,1.068546667,0.89509,-52.78377056,2.455076667,1.453350556,1.1529175,-2.65118,-2.6543625,-2.907943333,3.216115238,-5.870477738,-4.263948016,3.0
Ru2S6Se1,4.878402222,7.763545,32.04331,-0.344142986,-1.085397778,-1.647657143,2.48032,2.013411667,1.385371867,1.164806667,0.894671667,-53.49715111,2.338436667,1.556906667,1.2805025,-2.740238,-2.709115,-3.055600556,3.223792857,-5.932907857,-4.309190635,3.0
Ru2S5Te2,4.659941667,8.067941111,34.50726,-0.252779861,-1.128251667,-1.577602857,2.284855,1.613465833,1.1292202,0.953853333,0.826036111,-49.81540056,2.323666667,1.571238889,0.988579167,-2.230008,-2.6191475,-2.582586111,3.086672381,-5.705819881,-4.214924048,3.0
Ru2S6Te1,4.576265,7.847945,33.97243,-0.331049458,-1.054384444,-1.581532381,2.392053333,1.724734167,1.2829166,0.900895,0.905895,-51.50397278,2.477796667,1.547725556,1.078465,-2.49963,-2.65186625,-2.768741111,3.18303619,-5.83490244,-4.237420635,3.0
Os2O1Se6,4.799702222,8.798073333,35.36726,-0.251782153,-1.337051111,-1.952758095,2.487911667,1.5827575,1.319715667,1.303211667,0.820567778,-56.81724778,2.33699,1.653389444,1.3513675,-2.07371,-2.6662475,-2.939535556,3.043765714,-5.710013214,-4.380816825,3.0
Mn2O1S2Te4,4.918987778,7.927441667,37.00641667,-0.506322736,-1.130985,-1.948640952,3.232479444,2.036205,1.469035333,1.143436667,0.90468,-42.96811,2.7289,1.774466111,1.39649,-3.081268667,-3.108511667,-2.902982222,3.254716667,-6.363228333,-4.385701667,3.0
