Formula,Work function (avg. if finite dipole)
SrF2,5.014
SrF2O2,5.597
SrH2O2,3.144
SrH2S2,3.348
SrI2,4.692666666666667
SrSe2,6.346
SrTa2O7,9.505
SrTe2,5.311
Ta2BO2,5.543
Ta2BS2,5.537
Ta2BSe2,5.078
Ta2Br2,3.3325
Ta2Br2N2,4.46
Ta2Br2O2,4.378
Ta2Br2S2,4.831
Ta2Br2Se2,4.738
Ta2Br4,2.679
Ta2Br6,4.3134999999999994
Ta2C,4.771
Ta2CF2,3.887
Ta2CH2O2,2.563
Ta2CO2,5.522
Ta2CS2,5.405
Ta2CSe2,4.855
Ta2Cl2,3.3129999999999997
Ta2Cl2N2,4.904
Ta2Cl2O2,4.828
Ta2Cl2S2,5.041
Ta2Cl2Se2,4.932
Ta2Cl6,4.644
Ta2F2,4.1835
Ta2F2N,4.865
Ta2H2NO2,2.497
Ta2I2,3.4505
Ta2I2N2,4.096
Ta2I2O2,3.937
Ta2I2S2,4.538
Ta2I2Se2,4.467
Ta2I4,2.815
Ta2I4O2,4.544
Ta2I6,4.064
Ta2N,4.77
Ta2NO2,5.308
Ta2NS2,5.117
Ta2NSe2,4.607
Ta2O2,4.692333333333333
Ta2O4,5.373
Ta2O6,6.615
Ta2P2S6,4.922
Ta2P2Se6,4.853
Ta2P2Te6,4.593
Ta2S2,4.8812
Ta2S6,4.925
Ta2Se2,4.7802
Ta2Se6,4.588
Ta2Te2,4.4045
Ta2Te4,4.853
Ta2Te6,4.226
Ta3C2,4.69
Ta3C2F2,4.425
Ta3C2H2O2,2.394
Ta3C2O2,5.011
Ta3F2N2,5.008
Ta3H2N2O2,2.403
Ta3I7Se,4.529
Ta3I7Te,4.45
Ta3N2,5.29
Ta3N2O2,5.238
Ta4C3,4.729
Ta4C3F2,4.315
Ta4C3H2O2,2.396
Ta4C3O2,5.334
Ta4F2N3,3.768
Ta4H2N3O2,2.754
Ta4N3,4.928
Ta4N3O2,5.006
Ta4O8,5.055
Ta4Se12,5.02
Ta4Se2,3.72
Ta4Te6,4.568
Ta6Si2Te12,4.573
TaAs2,5.128
TaAsSb,4.958500000000001
TaBr2,3.593666666666667
TaBrCl,3.463
TaBrI,3.2435
TaCl2,3.8866666666666667
TaClI,3.377
TaF2,5.576
TaH2,4.517
TaI2,3.377333333333333
TaO2,5.324666666666666
TaS2,5.209666666666667
TaSSe,5.2205
TaSTe,4.846500000000001
TaSb2,4.470000000000001
TaSe2,4.816
TaSeTe,4.7385
TaTe2,4.513
Te2,4.907
Ti2BO2,5.898
Ti2BS2,5.991
Ti2BSe2,5.712
Ti2Br2,3.484
Ti2Br2N2,5.995
Ti2Br2O2,4.843
Ti2Br2S2,5.228
Ti2Br2Se2,5.061
Ti2Br6,4.8785
Ti2CF2,4.804
Ti2CH2O2,1.912
Ti2CO2,5.662
Ti2CS2,6.168
Ti2CSe2,5.422
Ti2Cl2,3.5084999999999997
Ti2Cl2N2,6.23
Ti2Cl2O2,5.192
Ti2Cl2S2,5.445
Ti2Cl2Se2,5.231
Ti2Cl4,4.487
Ti2Cl6,5.082
Ti2F2,4.8315
Ti2F2N,4.45
Ti2H2NO2,2.173
Ti2I2,3.3895
Ti2I2N2,5.309
Ti2I2O2,4.396
Ti2I2S2,4.916
Ti2I2Se2,4.795
Ti2I4,4.038
Ti2I6,4.668
Ti2N,4.583
Ti2NO2,5.734
Ti2NS2,5.79
Ti2NSe2,5.299
Ti2O2,4.013
Ti2O4,6.822
Ti2O6,6.723
Ti2P2S6,4.296
Ti2P2Se6,4.216
Ti2P2Te6,4.258
Ti2PTe2,4.883
Ti2S2,4.7782
Ti2S6,5.238
Ti2Se2,4.6152
Ti2Se6,4.85
Ti2Te2,4.414
Ti2Te6,4.696
Ti2Zr2S8,6.299
Ti2Zr2Se8,5.829
Ti2Zr2Te8,5.213
Ti3B2F2O2,7.469
Ti3B2F2S2,6.814
Ti3B2F2Se2,7.409
Ti3B2H2O2,1.444
Ti3B2H2S2,2.726
Ti3B2H2Se2,3.001
Ti3C2,3.975
Ti3C2F2,4.537
Ti3C2H2O2,1.986
Ti3C2H2S2,1.768
Ti3C2H2Se2,2.061
Ti3C2O2,6.142
Ti3F2N2,4.47
Ti3H2N2O2,2.33
Ti3H2N2S2,2.576
Ti3H2N2Se2,3.859
Ti3N2,4.598
Ti3N2O2,5.539
Ti3ZrS8,6.324
Ti3ZrSe8,5.839
Ti3ZrTe8,5.181
Ti4Br4O4,4.725
Ti4Br4S4,4.771
Ti4Br4Se4,4.714
Ti4C3,3.988
Ti4C3F2,4.573
Ti4C3H2O2,1.912
Ti4C3O2,6.014
Ti4Cl4O4,5.128
Ti4Cl4S4,5.099
Ti4Cl4Se4,4.971
Ti4F2N3,4.523
Ti4H2N3O2,2.235
Ti4I4O4,4.184
Ti4I4S4,4.358
Ti4I4Se4,4.354
Ti4N3,4.651
Ti4N3O2,5.664
Ti4O8,8.129
TiAs2,5.1415
TiAsSb,5.125500000000001
TiBr2,3.794
TiBrCl,3.792
TiBrI,3.5745
TiCl2,4.1209999999999996
TiClI,3.659
TiF2,6.2
TiH2,4.822
TiH2O2,2.117
TiI2,3.6673333333333336
TiO2,7.108
TiS2,6.023333333333333
TiSSe,5.685
TiSTe,5.0065
TiSb2,4.744
TiSe2,5.529
TiSeTe,5.037000000000001
TiTe2,4.970666666666666
TiZr3S8,6.301
TiZr3Se8,5.858
TiZr3Te8,5.247
Tl2Br2,4.135
Tl2Br2N2,6.738
Tl2Br2O2,6.605
Tl2Br4,6.253
Tl2Br6,6.4435
Tl2Cl2,4.061999999999999
Tl2Cl2N2,7.132
Tl2Cl2O2,7.0
Tl2Cl4,6.37
Tl2Cl6,7.0275
Tl2I2,4.1605
Tl2I2N2,5.974
Tl2I2O2,5.692
Tl2I2S2,5.915
Tl2I6,5.798
Tl2O2,5.388
Tl2O6Sb2,3.836
Tl2P2S6,5.824
Tl2P2Se6,5.393
Tl2P2Te6,4.94
Tl2S2,5.62725
Tl2S4,4.915
Tl2Se2,5.131
Tl2Se4,4.762
Tl2Te2,4.82825
Tl2Te4,4.568
TlBr2,6.245333333333334
TlCl2,6.535
TlF2,6.377
TlH2O2,2.895
TlI2,5.741666666666667
TlS2,6.637
TlSe2,5.922
TlTe2,5.155
V2BO2,6.4
V2BS2,5.722
V2BSe2,5.119
V2Br2,3.1109999999999998
V2Br2N2,5.569
V2Br2O2,5.057
V2Br2Se2,5.309
V2Br6,5.387499999999999
V2C,4.635
V2CF2,5.383
V2CH2O2,1.793
V2CO2,6.645
V2CS2,5.564
V2CSe2,4.932
V2Cl2,3.2110000000000003
V2Cl2N2,6.038
V2Cl2O2,5.315
V2Cl2Se2,5.52
V2Cl4,3.923
V2Cl6,5.6555
V2F2,4.6715
V2F2O7Te2,4.607
V2F8,7.28
V2H2NO2,2.017
V2H2O5,4.698
V2H4O10Se2,3.75
V2I2,2.988
V2I2N2,4.94
V2I2Se2,5.061
V2I6,5.0809999999999995
V2N,4.743
V2NS2,5.373
V2NSe2,4.693
V2O10P2,6.903
V2O2,4.9385
V2O4,6.208
V2O5,7.136
V2O6,5.553
V2P2S6,4.552
V2S2,4.9542
V2S4,4.982
V2S6,4.484
V2Se2,4.804399999999999
V2Se4,5.023
V2Se6,4.657
V2Te2,4.6536
V2Te4,4.848
V2Te6,4.705
V3B2F2S2,6.108
V3B2F2Se2,7.061
V3B2H2O2,1.881
V3B2H2S2,2.144
V3B2H2Se2,2.334
V3C2,4.395
V3C2F2,5.748
V3C2F2Se2,7.853
V3C2H2O2,1.71
V3C2H2S2,2.55
V3C2H2Se2,3.842
V3C2O2,6.383
V3F2N2,5.417
V3H2N2O2,2.324
V3H2N2S2,4.102
V3N2,5.136
V3N2O2,5.987
V3Te6,4.728
V4C3,4.523
V4C3F2,5.647
V4C3H2O2,1.808
V4C3O2,6.582
V4F12O4,8.088
V4F2N3,5.356
V4H2N3O2,1.88
V4N3,4.768
V4N3O2,6.195
V4O10,7.828
V4O8,6.739
VAs2,5.0935
VAsSb,5.021
VBr2,4.132333333333333
VBr2O,5.811
VBrCl,3.982
VBrI,4.003
VC4FH4O6,5.063
VCl2,4.287
VCl2O,6.141
VClI,3.932
VF2,6.444
VH2,4.9
VI2,4.124666666666666
VO2,6.521666666666667
VS2,5.662999999999999
VSSe,5.399
VSTe,4.926
VSb2,4.7675
VSe2,5.260000000000001
VSeTe,4.898
VTe2,4.882000000000001
W2BO2,5.885
W2BS2,5.17
W2BSe2,4.579
W2Br2,4.357
W2Br2N2,4.91
W2Br2O2,4.314
W2Br2S2,4.358
W2Br2Se2,4.367
W2Br6,4.022
W2C,5.153
W2CF2,5.674
W2CH2O2,2.476
W2CO2,5.938
W2CS2,5.155
W2CSe2,4.651
W2Cl2,4.5755
W2Cl2N2,5.245
W2Cl2O2,4.665
W2Cl2S2,4.718
W2Cl2Se2,4.705
W2Cl4,3.329
W2Cl4O4,6.954
W2Cl6,4.418
W2F2,5.425
W2F2N,5.132
W2H2NO2,2.579
W2H4O8,5.017
W2H6,5.112
W2H8,3.284
W2I2,3.9015
W2I2N2,4.485
W2I2O2,3.937
W2I2S2,4.399
W2I2Se2,4.461
W2I6,4.1455
W2N,5.337
W2N3,6.986
W2NO2,6.826
W2NS2,5.091
W2NSe2,4.618
W2O12Sb4,6.088
W2O2,5.686666666666667
W2O4,6.305
W2P2S6,5.022
W2P2Se6,4.686
W2P2Te6,4.381
W2S2,4.8686
W2S4,5.134
W2S6,4.848
W2Se2,4.2954
W2Se4,4.731
W2Te2,3.9286000000000003
W2Te4,4.4005
W2Te6,4.371
W3C2,4.97
W3C2F2,5.791
W3C2H2O2,2.21
W3C2O2,6.093
W3F2N2,5.006
W3H2N2O2,2.871
W3N2,5.484
W3N2O2,7.117
W4C3,5.092
W4C3F2,5.343
W4C3H2O2,1.962
W4C3O2,5.746
W4F2N3,4.36
W4H2N3O2,2.066
W4N3,5.341
W4N3O2,5.253
WAs2,4.852
WAsSb,4.673
WBr2,3.483
WBrCl,3.3865
WBrI,3.291
WCl2,3.7303333333333337
WClI,3.3675
WF2,5.512
WH2,4.493
WI2,3.3943333333333334
WO2,5.564
WOS,4.887
WOSe,4.531
WOTe,4.331
WS2,4.790333333333333
WSSe,4.5495
WSTe,4.398
WSb2,4.4655000000000005
WSe2,4.315666666666666
WSeTe,4.1795
WTe2,4.059
Y2Br2,3.83
Y2Br4,3.428
Y2Br6,5.4085
Y2C,3.827
Y2CF2,3.69
Y2CH2O2,1.423
Y2CO2,5.253
Y2Cl2,3.9985
Y2Cl2O2,5.754
Y2Cl2O4,7.979
Y2Cl4,3.566
Y2Cl6,5.827999999999999
Y2F2,3.652
Y2F2N,3.065
Y2H2NO2,2.036
Y2I2,3.901
Y2I4,3.305
Y2I6,4.9195
Y2N,3.961
Y2NO2,6.314
Y2Te6,4.757
Y3C2,3.52
Y3C2F2,4.468
Y3C2H2O2,1.843
Y3C2O2,2.725
Y3F2N2,3.259
Y3H2N2O2,1.79
Y3N2,4.134
Y3N2O2,5.675
Y4C3,3.07
Y4C3F2,4.287
Y4C3H2O2,1.737
Y4C3O2,5.209
Y4F2N3,2.816
Y4H2N3O2,2.028
Y4N3,4.183
Y4N3O2,6.215
YBr2,3.751666666666667
YCl2,3.9249999999999994
YF2,3.716
YI2,3.542666666666667
YS2,6.881
YSe2,6.654
YTe2,5.71
Zn2As4O8,4.251
Zn2Br2,5.4879999999999995
Zn2Cl2,5.7285
Zn2Cl4O6Sb4,6.255
Zn2F2,5.5815
Zn2Ge2O6,5.111
Zn2H4O8Se2,4.005
Zn2H8N4Te2,1.946
Zn2I2,4.741
Zn2O6Si2,4.332
Zn2P2S6,5.06
Zn2P2Se6,4.877
Zn2P2Te6,4.508
Zn2S2,5.022
Zn2S4,4.163
Zn2Se2,4.9750000000000005
Zn2Se4,4.323
Zn2Te2,4.829000000000001
Zn2Te4,4.185
Zn4Br4O4,6.939
Zn4Cl4O4,7.576
ZnB2C8N8,7.169
ZnBr2,5.308333333333334
ZnC4N6,4.311
ZnCl2,5.760000000000001
ZnF2,6.642
ZnH2O2,2.81
ZnI2,4.838
ZnS2,5.824
ZnSe2,5.106
ZnTe2,4.54
Zr2BO2,5.162
Zr2BS2,6.023
Zr2BSe2,5.762
Zr2Br2,3.5415
Zr2Br2N2,5.521
Zr2Br2O2,4.32
Zr2Br2S2,4.962
Zr2Br2Se2,4.856
Zr2Br4,4.04
Zr2Br6,4.276
Zr2CF2,3.906
Zr2CH2O2,2.031
Zr2CO2,4.817
Zr2CS2,6.239
Zr2CSe2,5.748
Zr2Cl2,3.6847499999999997
Zr2Cl2N2,5.7035
Zr2Cl2O2,4.616
Zr2Cl2S2,5.117
Zr2Cl2Se2,4.963
Zr2Cl4,4.237
Zr2Cl6,4.4415
Zr2F2,4.4285
Zr2F2N,3.54
Zr2Ge2Te8,4.293
Zr2H2NO2,2.342
Zr2I2,3.326
Zr2I2N2,4.8535
Zr2I2O2,3.9
Zr2I2S2,4.731
Zr2I2Se2,4.647
Zr2I4,3.898
Zr2I6,4.122999999999999
Zr2N,4.424
Zr2NO2,4.731
Zr2NS2,5.795
Zr2NSe2,5.47
Zr2O2,3.656
Zr2O6,5.872
Zr2P2S6,5.181
Zr2P2Se6,4.916
Zr2P2Te6,4.533
Zr2PTe2,4.971
Zr2S2,4.529999999999999
Zr2S6,5.432
Zr2Se2,4.4886
Zr2Se6,5.021
Zr2Si2Te2,4.694
Zr2Te10,4.489
Zr2Te2,4.3984000000000005
Zr2Te6,4.827
Zr3B2F2O2,7.101
Zr3B2F2S2,6.324
Zr3B2F2Se2,7.507
Zr3B2H2O2,1.447
Zr3B2H2S2,2.709
Zr3B2H2Se2,3.096
Zr3C2,3.921
Zr3C2F2,3.215
Zr3C2F2O2,4.898
Zr3C2F2S2,6.347
Zr3C2F2Se2,7.13
Zr3C2H2O2,2.117
Zr3C2H2S2,1.796
Zr3C2H2Se2,2.117
Zr3C2O2,5.433
Zr3F2N2,3.855
Zr3F2N2O2,8.245
Zr3H2N2O2,2.429
Zr3H2N2S2,2.77
Zr3H2N2Se2,3.085
Zr3N2,4.346
Zr3N2O2,4.427
Zr4Br4O4,4.273
Zr4Br4S4,4.64
Zr4Br4Se4,4.598
Zr4C3,3.917
Zr4C3F2,3.516
Zr4C3H2O2,2.074
Zr4C3O2,5.214
Zr4Cl4O4,4.586
Zr4Cl4S4,4.931
Zr4Cl4Se4,4.849
Zr4F2N3,3.576
Zr4H2N3O2,2.392
Zr4I4O4,3.922
Zr4I4S4,4.292
Zr4I4Se4,4.299
Zr4N3,4.346
Zr4N3O2,4.602
ZrAs2,5.2775
ZrAsSb,5.3004999999999995
ZrBr2,3.8776666666666664
ZrBrCl,3.726
ZrBrI,3.419
ZrCl2,4.267666666666667
ZrClI,3.5385
ZrF2,5.888
ZrH2,4.474
ZrH2O2,2.348
ZrH2O6P2,4.4
ZrI2,3.485666666666667
ZrO2,6.052333333333333
ZrS2,5.978333333333333
ZrSSe,5.7475000000000005
ZrSTe,5.008
ZrSb2,4.775
ZrSe2,5.5
ZrSeTe,5.101
ZrTe2,4.994
