Formula,Work function (avg. if finite dipole)
HfMnI6,4.887
HfNa2H6O6,3.44
HfNiBr6,5.845
HfNiCl6,6.298
HfNiI6,5.231
HfO2,6.000666666666667
HfPd2,4.22
HfS2,5.8950000000000005
HfSSe,5.6795
HfSTe,4.9135
HfSb2,4.6715
HfSe2,5.425999999999999
HfSeTe,4.9795
HfTe2,4.886
HfTi3S8,6.338
HfTi3Se8,5.847
HfTi3Te8,5.16
HfZr3S8,6.306
HfZr3Se8,5.865
HfZr3Te8,5.251
Hg2Br2,6.0489999999999995
Hg2Br2N2,6.511
Hg2Br2O2,6.647
Hg2Br2S2,5.794
Hg2Br2Se2,5.976
Hg2Cl2,6.3655
Hg2Cl2N2,7.039
Hg2Cl2O2,7.135
Hg2Cl2S2,6.282
Hg2Cl2Se2,5.987
Hg2F2,6.726
Hg2GeO4,5.52
Hg2I2,5.4094999999999995
Hg2I2N2,5.803
Hg2I2O2,5.861
Hg2I2S2,6.117
Hg2I2Se2,5.413
Hg2K4Cl8,5.648
Hg2O4,7.161
Hg2P2S6,5.497
Hg2P2Se6,5.134
Hg2P2Te6,4.601
Hg2Pt4Se6,4.829
Hg2Se2,5.646
Hg2Te2,5.1465
Hg2Te4,4.668
Hg2V2O6,6.083
Hg3B2O6,4.695
Hg4I8,5.333
Hg4K2Cl6O6S2,5.993
Hg4Mo2O8,5.73
Hg4W2O8,5.056
HgBr2,5.991666666666667
HgCl2,6.559333333333334
HgF2,7.029
HgH2O2,3.667
HgH2S2,5.011
