Formula,"Valence band effective mass, direction 1"
Cu2Br2,-5.842
Cu2Br2C4H4N2,-17.294
Cu2Br2S4,-6.764
Cu2Br2Se4,-0.953
Cu2Br2Te4,-0.762
Cu2Br6,-0.97
Cu2C2Cl2O2,-3.138
Cu2C4H4O8,-0.943
Cu2C6H8I2N2,-5.597
Cu2Cl2,-3.002
Cu2Cl2Se4,-1.025
Cu2Cl2Te4,-0.745
Cu2Cl6,-1.705
Cu2F2,-6.585
Cu2F4,-3.602
Cu2Ge2O6,-4.84
Cu2H4O10Se2,-4.424
Cu2Hg2Cl2Se2,-2.021
Cu2I2,-0.521
Cu2I2S4,-3.34
Cu2I2Se4,-2.04
Cu2I2Te4,-1.342
Cu2I4O12,-4.669
Cu2MoO4,-7.284
Cu2MoSe4,-0.563
Cu2MoTe4,-10.065
Cu2O2,-2.968
Cu2O4S,-3.05
Cu2O6Si2,-3.86
Cu2ReBr6,-1.026
Cu2ReCl6,-4.031
Cu2ReF6,-8.376
Cu2ReI6,-0.711
Cu2S2,-5.663
Cu2S4Sb2,-1.686
Cu2Sb2Se4,-1.125
Cu2Se2,-0.935
Cu2WO4,-5.634
Cu2WS4,-0.709
Cu2WSe4,-0.668
Cu2WTe4,6.072
Cu3O4P,-2.967
Cu4Cl4H4O4,-17.29
Cu4Cl4O4,-2.323
Cu4F4H4O4,-84.812
Cu4O12Te2,-18.81
CuBr,-0.384
CuC6H4N6O2,-2.66
CuInP2Se6,-0.507
CuLi2O2,-2.06
CuV2O6,-3.277
F2Ge,-0.642
F2Ge2,-0.193
F2Si2,-0.195
Fe2Br6,-0.794
Fe2Cl6,-1.072
Fe2I2,-0.185
Fe2P2Te6,-19.213
Fe2S4,-20.848
Fe2Se4,-1.713
Fe2Te4,-0.989
FeBr2,-7.373
FeCl2,-7.015
FeF2,15.785
FeGa2S4,-44.967
FeHfBr6,-29.06
FeHfCl6,-20.724
FeHfF6,-41.483
FeHfI6,-13.38
FeI2,-12.78433333333333
FeSn2C6N6,-5.147
FeZn2C6N6,-5.482
FeZrBr6,-14.749
FeZrCl6,-14.906
FeZrF6,-23.847
FeZrI6,-21.753
Ga2Br2,-0.766
Ga2Br2O2,-2.15
Ga2Br2S2,-1.144
Ga2Br2Se2,-1.039
Ga2Br6,-0.966
Ga2Cl2,-0.336
Ga2Cl2O2,-16.788
Ga2Cl2S2,-1.193
Ga2Cl2Se2,-1.09
Ga2Cl2Te2,-0.747
Ga2Cl6,-3.3289999999999997
Ga2F4H10N4,-71.434
Ga2Ge2Te2,-2.021
Ga2H2O8Se2,-25.628
Ga2I2,-5.951
Ga2I2O2,-1.53
Ga2I2S2,-0.213
Ga2I2Se2,-1.099
Ga2I6,-0.47650000000000003
Ga2In2S6,-3.758
Ga2NiS4,-3.858
Ga2O2,-5.362
Ga2P2Te6,-1.055
Ga2S2,-7.5575
Ga2Se2,-5.5120000000000005
Ga2Te2,-4.029
GaAs,-0.117
GaN,-1.318
GaP,-0.673
Ge2,-0.024
Ge2H2,-0.086
Ge2P2S6,-2.373
Ge2P2Se6,-1.707
Ge2P2Te6,-0.524
Ge2S2,-0.929
Ge2S4,-0.842
Ge2Se2,-0.108
Ge2Te2,-0.126
Ge2Te4,-0.028
Ge3O9Sb2,-165.001
GeH2O2,-1.297
GeI2,-1.8924999999999998
GeO,-1.329
GeO2,-6.648666666666666
GeS,-3.43
GeS2,-2.0025
GeSe,-0.302
GeSe2,-2.313
GeTe,-0.163
H2Si2,-0.205
H4O10Si4,-21.051
H4O12Te4,-9.063
Hf2Br2N2,-8.4055
Hf2Br4,-1.385
Hf2CO2,-0.246
Hf2Cl2N2,-4.8095
Hf2Cl4,-1.177
Hf2Ge2Te8,-0.615
Hf2I2N2,-0.549
Hf2I4,-1.366
Hf2O6,-8.38
Hf2P2S6,-0.717
Hf2P2Se6,-0.511
Hf2S2,-0.104
Hf2S6,-1.376
Hf2Se2,-0.256
Hf2Se6,-0.469
Hf2Te10,-0.271
Hf2Te2,-3.495
Hf2Ti2S8,-2.167
Hf2Ti2Se8,-66.968
Hf2Ti2Te8,-0.975
Hf2Zr2S8,-4.483
Hf2Zr2Se8,-2.263
Hf2Zr2Te8,-4.562
Hf3C2O2,-3.214
Hf3N2O2,-0.522
Hf3TiS8,-1.203
Hf3TiSe8,-3.212
Hf3TiTe8,-2.461
Hf3ZrS8,-2.955
Hf3ZrSe8,-2.737
Hf3ZrTe8,-0.946
HfBr2,-0.35
HfBrCl,-0.376
HfBrI,-0.344
HfCl2,-0.375
HfClI,-0.413
HfH2O2,-4.897
HfI2,-0.276
HfMnF6,-421.531
HfMnI6,-0.901
HfNa2H6O6,-1.525
HfNiBr6,-6.43
HfNiCl6,-10.956
HfNiI6,-1.351
HfO2,-2.86
HfS2,-1.2403333333333333
HfSSe,-1.515
HfSTe,-0.508
HfSe2,-4.716666666666666
HfSeTe,-0.547
HfTe2,-0.5645
HfTi3S8,-0.802
HfTi3Se8,-3.047
HfTi3Te8,-0.936
HfZr3S8,-2.981
HfZr3Se8,-2.409
HfZr3Te8,-1.421
Hg2Br2,-0.243
Hg2Cl2,-0.095
Hg2GeO4,-7.601
Hg2I2,-9.492
Hg2O4,-3.543
Hg2P2S6,-0.697
Hg2P2Se6,-0.535
Hg2P2Te6,-0.184
Hg2Pt4Se6,-0.561
Hg2Se2,-5.982
Hg2Te2,-0.044
Hg2V2O6,-17.573
Hg3B2O6,-16.288
Hg4I8,-7.1
Hg4Mo2O8,-26.204
Hg4W2O8,-2.626
HgBr2,-0.8926666666666666
HgCl2,-3.175333333333333
HgF2,-5.751
HgH2O2,-1.326
HgH2S2,-4.362
HgI2,-3.861333333333334
HgO,-0.583
HgO2,-2.586
HgS,-5.026
HgSe,-0.386
HgSe2,-0.021
HgTe,-0.12
I2Sb,-1.345
I2Sb2,-0.4065
I6Sb2,-9.452
ISSb,-0.7965
ISbSe,-0.598
ISbTe,-1.5735
In2Br2,-1.9935
In2Br2O2,-26.791
In2Br2S2,-1.773
In2Br2Se2,-1.546
In2Br6,-1.8679999999999999
In2Cl2,-1.717
In2Cl2O2,-1.268
In2Cl2S2,-1.857
In2Cl2Se2,-1.535
In2Cl6,-8.653500000000001
In2F2,-0.737
In2I2,-1.6844999999999999
In2I2O2,-2.222
In2I2S2,-0.255
In2I2Se2,-2.062
In2I6,-0.754
In2O2,-1.915
In2P2S6,-5.978
In2S2,-12.8865
In2S4,-5.197
In2Se2,-20.403333333333332
In2Se3,-0.297
In2Si2Te6,-0.196
In2Te2,-5.7075
In2Te4,-0.968
In2Te5,-0.997
In2ZnS4,-2.229
In4Br4Te4,-1.238
In4Br8,-10.046
In4I4Te4,-0.8
InAs,-0.098
InLiI4O12,-5.517
InN,-1.451
InNaI4O12,-61.234
InP,-0.795
InSb,-0.071
Ir2Br2O2,-2.988
Ir2Br2S2,-1.972
Ir2Br2Se2,-2.327
Ir2Br6,-1.4965000000000002
Ir2Cl2O2,-2.581
Ir2Cl2S2,-1.811
Ir2Cl2Se2,-0.039
Ir2Cl6,-7.37
Ir2I2S2,-1.615
Ir2I6,-7.689
Ir2Nb2Te8,-1.21
Ir2O2,-16.12
Ir2P2S6,-0.042
Ir2P2Se6,-0.562
Ir2P2Te6,-0.513
Ir2S2,-5.838
Ir2Se2,-0.7876666666666666
Ir2Ta2Te8,-0.533
Ir4S8,-2.761
Ir4Se8,-4.799
Ir4Te8,-5.3
K2Br2,-21.241
K2C2H2O6,-113.305
K2C2O6,-31.117
K2C4,-0.905
K2C4H6O6,-49.991
K2C6H6O6,-23.578
K2Cl2,-59.143
K2Cl2O6,-25.251
K2F2,-2.82
K2I2,-32.209
K2N2O6,-19.821
K2Os2F10N2O2,-59.41
Li2Cl2O4,81.394
Li2F2O2,-2.923
Li2F2S2,-12.818
Li2H2O2,-2.12
Li2H2S2,-1.414
Li2H4N2,-2.151
Li2H4N2O6,-28.838
Li2PtH6O6,-82.116
Li2V4O10,-2.374
Li4O8Sb4,-2.488
Li6H2O8Te2,-6.028
LiC5H5N2O5,-25.765
Mg2Cl4,-4.958
Mg2Mo2O12Te2,-8.217
Mg2P2S6,-0.685
Mg2P2Se6,-0.56
MgB2H8,-5.468
MgBr2,-0.6335
MgCl2,-4.888000000000001
MgF2O2,-3.015
MgF2S2,-105.902
MgH2O2,-1.186
MgH2S2,-2.082
MgI2,-0.4435
MgNa2H4O8S2,-8.515
Mn2Br2S4Sb2,-23.807
Mn2Br2Sb2Se4,-3.528
Mn2Br6,-0.757
Mn2Cl2N2,-1.612
Mn2Cl2S4Sb2,-5.575
Mn2Cl6,-19.4075
Mn2H4O8S2,-10.634
Mn2I2Sb2Se4,-4.395
Mn2I6,-1.409
Mn2P2S6,-0.737
Mn2P2Se6,-1.082
MnBr2,-4.456
MnCl2,-2.7293333333333334
MnF12Sb2,-49.12
MnH2O2,-1.12
MnI2,-1.0530000000000002
MnNa2F3O7P2,-23.981
MnO2,-42.854
MnRe2O8,-6.375
MnZrBr6,-2.688
MnZrCl6,-66.926
MnZrF6,-14.465
MnZrI6,-0.979
Mo2Br4O4,-8.561
Mo2Cl6,-3.641
Mo2I6,-7.173
Mo2O10P2,-4.359
Mo2O6,-4.118
Mo2S4,-0.27949999999999997
Mo2Se4,-0.626
Mo2Ta2O11,-1.552
Mo2W2S8,-0.445
Mo2W2Se8,-0.46
Mo2W2Te8,-0.435
Mo2Zn2O12Te2,-18.001
Mo2Zn2O8,-1.512
Mo2ZrO8,-17.186
Mo3WS8,-0.498
Mo3WSe8,-0.517
Mo3WTe8,-0.513
MoO2,-0.797
MoOS,-1.692
MoOSe,-2.343
MoOTe,-3.603
MoS2,-0.53
MoSSe,-0.6
MoSTe,-255.874
MoSe2,-0.584
MoSeTe,-0.5415
MoTe2,-0.59
MoW3S8,-0.432
MoW3Se8,-0.393
MoW3Te8,-0.358
Na2B2H8O8,-7.839
Na2C2H6N8O2,-40.713
Na2C2N2S2,-4.556
Na2F2O2,-6.082
Na2F2S2,-20.522
Na2H2O2,-2.152
Na2H2S2,-1.441
Na2H8I2O4,-66.498
Na2Nb2Cl12,-12.751
Na2PtH6O6,-79.905
Na2SnH6O6,-8.161
Na4As4O8,-11.635
Na4O8S4,-15.106
Nb2Br4O2,-33.98
Nb2Br4S4,-4.129
Nb2Br4Se4,-4.016
Nb2Cl4S4,-46.29
Nb2Cl4Se4,-31.527
Nb2I2O4,-2.407
Nb2I4O2,-1.453
Nb2P2S6,-1.032
Nb3Br7S,-6.338
Nb3Br8,-19.145
Nb3Cl7Te,-26.039
Nb3Cl8,-2.818
Nb3I7Te,-0.815
Nb3I8,-0.924
Nb4Ge2Te8,-8.953
Nb4I2Te12,-4.149
Nb4O8,-1.656
Nb4S12,-4.639
Nb4Si2Te8,-6.675
Ni2As2O7,-43.765
Ni2Cl6,-0.654
Ni2P2S6,-0.484
Ni2S4,-2.183
Ni2Se4,-3.945
Ni2Ta4Se10,0.014
Ni2Te4,-1.914
NiBr2,-2.913
NiC2N2S2,-3.161
NiC4H8N2O4,-2.274
NiC6Cl2H4N2,-414.447
NiCl2,-3.032
NiCl2O8,-16.44
NiH2O2,-3.078
NiI2,-0.379
NiO2,-110.679
NiPS3,-2.404
NiRe2O8,-7.376
NiS2,-0.616
NiSe2,-0.345
NiZrBr6,-2.022
NiZrCl6,-6.638
NiZrF6,-59.119
NiZrI6,-1.15
O10P4,-8.08
O14S2Te4,-7.388
O4S8Sb8,-4.42
O6Sb4,-11.692
O8P2Sb2,-16.06
O8Te4,-0.786
OS2Sb2,-5.049
OSb2Se2,-0.686
OSb2Te2,-0.766
Os2Cl6,-7.899
Os2O4,-0.23
Os2P2S6,-1.153
Os2S4,-0.9524999999999999
Os2Se4,-1.0895
Os2Te4,-0.5725
OsBr2,-1.6466666666666665
OsCl2,-2.76
OsH2O2,-4.529
OsI2,-3.485
OsO2,-3.633
P2Sb2Se6,-0.306
P2Sb2Te6,-0.209
P4,-8.282
P8Si4,-9.473
Pb2Br2,-0.796
Pb2Br4,-3.613
Pb2Cl2,-0.706
Pb2F2,-0.585
Pb2I2N2,-3.076
Pb2O2,-5.7683333333333335
Pb2P2S6,-0.934
Pb2P2Se6,-1.846
Pb2P2Te6,-2.698
Pb2S2,-0.41933333333333334
Pb2S4,-3.254
Pb2Se2,-4.209333333333333
Pb2Se4,-1.234
Pb2Se6,-1.633
Pb2Te2,-2.96075
Pb2Te4,-0.369
Pb2Te6,-0.949
Pb4O4,-52.785
PbBr2,-4.726999999999999
PbCl2,-7.094333333333334
PbF2,-0.994
PbF4,-11.29
PbH2O2,-1.517
PbI2,-3.3213333333333335
PbO,-10.008
PbO2,-22.100000000000005
PbS,-28.887
PbS2,-3.1823333333333337
PbSb2Te4,-0.35
PbSe,-1.888
PbSe2,-1.6506666666666667
PbTe,-0.189
PbTe2,-6.727
PbWO4,-3.385
Pd2Br6,-1.346
Pd2Cl4,-2.155
Pd2Cl6,-0.306
Pd2F2,-4.447
Pd2I4O12,-3.436
Pd2I6,-1.615
Pd2N4O12,-5.39
Pd2O6Se2,-4.479
Pd2P2S6,-0.043
Pd2S4,-3.155
Pd2Se4,-1.459
Pd2Te4,-11.744
Pd3P2S8,-1.58
Pd4I8,-6.224
Pd4P4S4,-7.258
Pd4P4Se4,-29.296
Pd4Tl2Se6,-0.934
PdBr2,-2.577
PdCl2,-3.127
PdF2,-0.752
PdO2,-166.47
PdS2,-2.262
PdSe2,-0.482
Pt2Br2N2,-2.405
Pt2Br6,-0.721
Pt2Cl2,-1.19
Pt2Cl2N2,-2.582
Pt2Cl6,-0.554
Pt2O2,-6.011
Pt2P2S6,-0.052
Pt2P2Se6,-0.365
Pt2S2,-7.93
Pt2S4,-1.019
Pt2Se4,-1.439
Pt2Te4,-9.881
Pt4I8,-3.28
Pt4Tl2S6,-0.999
Pt4Tl2Se6,-2.255
Pt4Tl2Te6,-0.642
PtBr2,-2.189
PtCl2,-1.86
PtF2,-0.707
PtO2,-1.123
PtS2,-1.584
PtSe2,-3.237
PtTe2,-0.37
Rb2Br2,-45.762
Rb2Br2F8,-11.304
Rb2C2F6O6S2,-5.426
Rb2C4,-0.967
Rb2Cl2,-17.307
Rb2F2,-1.8
Rb2I2,-18.461
Re2Br2,-1.462
Re2Br6,-1.135
Re2I4,-1.799
Re2I6,-1.7165
Re2S2,-0.128
Re2ZnO8,-4.213
Re4O8,-0.841
Re4S8,-139.789
Re4Se8,-1.533
Re4Te8,-1.377
Re6Cl2Se8,-2.342
Rh2Br2S2,-0.614
Rh2Br4,-1.63
Rh2Br6,-8.972
Rh2Cl2O2,-3.732
Rh2Cl2S2,-0.499
Rh2Cl2Te2,-8.967
Rh2Cl4,-1.783
Rh2Cl6,-3.5585
Rh2I6,-1.292
Rh2O2,-0.143
Rh2P2Se6,-5.002
Rh2P2Te6,-0.339
Rh2Se2,-0.914
Rh2Ta2Te8,-3.472
Rh4S8,-4.732
Rh4Se8,-1.473
Ru2F8,-2.168
Ru2O4,-0.084
Ru2P2S6,-2.492
Ru2P2Se6,-1.317
Ru2P2Te6,-4.875
Ru2S4,-1.276
Ru2Se4,-0.5025000000000001
Ru2Se6,-0.528
Ru2Te4,-2.9090000000000003
RuBr2,-5.886
RuCl2,-9.5505
RuH2O2,-5.293
RuI2,-10.261
S2Sb2,-0.4
S2Sb2Se,-0.781
S2Sb2Te,-0.191
S2Si,-0.99
S2Si2,-20.835
S3Sb2,-0.992
S8Si4,-1.551
SSb2Se2,-1.223
SSb2Te2,-1.681
Sb2,-0.104
Sb2Se2,-0.231
Sb2Se2Te,-1.241
Sb2Se3,-1.041
Sb2SeTe2,-74.163
Sb2Te3,-1.527
Sb4,-0.029
Sc2Br2O2,-3.614
Sc2Br2S2,-0.513
Sc2Br2Se2,-0.408
Sc2Br6,-1.147
Sc2CCl2,-0.733
Sc2CF2,-0.86
Sc2CH2O2,-0.642
Sc2Cl2O2,-4.211
Sc2Cl2S2,-0.605
Sc2Cl2Se2,-0.484
Sc2Cl6,-1.91
Sc2I2O2,-7.972
Sc2I2S2,-0.952
Sc2I2Se2,-0.411
Sc2I6,-0.6809999999999999
Sc2O13Te5,-11.01
Sc2O2,-5.33
Sc2P2S6,-10.839
Sc2P2S8,-4.529
Sc2P2Se6,-1.604
Sc2S2,-0.3185
Sc2Se2,-0.33899999999999997
Sc2Te2,-0.3675
Sc4I4O4,-1.121
Sc4S6,-1.299
ScBr2,-2.051
ScCl2,-1.419
ScH2,-1.825
ScI2,-0.494
ScO2,-11.295
ScS2,-5.589
ScSe2,-4.979
Se2Si,-0.874
Se2Si2,-0.651
Si2,-0.022
Si2Te2,-0.062
Sn2,-0.037
Sn2Br2,-0.268
Sn2Br2N2,-2.504
Sn2C2H6O6P2,-9.106
Sn2Cl2,-3.574
Sn2Cl2N2,-1.361
Sn2F2,-3325.289
Sn2F2O6P2,-21.095
Sn2H2,-0.033
Sn2H2O6P2,-5.463
Sn2I2N2,-1.954
Sn2O2,-4.941
Sn2O6P2,-3.826
Sn2O8S2,-10.19
Sn2P2S6,-0.745
Sn2P2Se6,-1.231
Sn2P2Te6,-0.523
Sn2S2,-0.6795
Sn2Se2,-0.23149999999999998
Sn2Se4,-2.611
Sn2Te2,-0.076
SnBr2,-1.6989999999999998
SnCl2,-45.93566666666667
SnF2,-0.583
SnF4,-8.06
SnH2O2,-1.245
SnI2,-1.3719999999999999
SnO,-1.244
SnO2,-8.648
SnS,-5.415
SnS2,-3.0003333333333337
SnSe,-3.906
SnSe2,-2.5140000000000002
SnTe,-0.192
SnTe2,-4.817
Sr2Br2H2,-4.693
Sr2Cl4O8,-5.795
Sr2F2I2,-0.609
Sr2H8O6,-2.783
Sr2O12P4,-73.296
SrBr2,-7.207
SrCl2,-15.703666666666669
SrF2,-13.995
SrF2O2,-1.6
SrH2O2,-1.573
SrH2S2,-0.972
SrI2,-5.025
Ta2I2,-1.718
Ta2I4O2,-7.155
Ta2P2Se6,-1.458
Ta2P2Te6,-0.762
Ta3I7Se,-1.386
Ta3I7Te,-1.676
Ta4O8,-24.5
TaO2,-2.084
Ti2Br2,-0.278
Ti2Br2N2,-0.346
Ti2Br6,-0.488
Ti2CO2,-0.145
Ti2Cl2,-0.098
Ti2Cl2N2,-0.281
Ti2Cl4,-1.831
Ti2Cl6,-0.1915
Ti2I2N2,-0.056
Ti2I4,-1.777
Ti2I6,-0.848
Ti2O4,-8.759
Ti2O6,-9.971
Ti2S2,-0.045
Ti2S6,-0.956
Ti2Se2,-0.068
Ti2Se6,-0.535
Ti2Te2,-9.030999999999999
Ti2Zr2S8,-1.771
Ti2Zr2Se8,-3.962
Ti2Zr2Te8,-2.044
Ti3ZrS8,-6.896
Ti3ZrSe8,-3.092
Ti3ZrTe8,-1.428
