Formula,Area of unit-cell
BiNbAs,10.306000000000001
BiNbSb,9.617
BiO,11.644
BiO2,13.748
BiS2,14.368666666666668
BiSe2,15.269666666666666
BiTaAs,10.381
BiTaSb,9.4795
BiTe2,15.465333333333334
BiTiAs,10.5515
BiTiSb,9.32
BiVAs,9.738
BiVSb,9.3595
BiWAs,9.285
BiWSb,9.609
BiZrAs,11.4815
BiZrSb,9.657
Br2Ge,15.82
Br2Ge2,13.818
Br2Ge2N2,12.882
Br2Ge2O2,14.171
Br2Ge2S2,18.439
Br2Ge2Se2,19.923
Br2Sb,12.597
Br2Sb2,20.968
Br6Sb2,45.01
BrSSb,13.410499999999999
BrSbSe,14.003499999999999
BrSbTe,15.0845
C2,5.272
C2F2,5.835
C2H2,5.583
C6N2,20.437
C6N8,43.94
C6P2,26.185
C6Sb2,33.054
CF2Si,8.652
CH2Si,8.48
CN,4.967
CP,7.896
Ca2Br2,31.763
Ca2Br2H2,14.723
Ca2C,13.309
Ca2C2F2O6,17.033
Ca2Cl2,21.73
Ca2Cl4H8O4,45.0
Ca2Cl4O8,33.805
Ca2CoO3,10.964
Ca2CuBr2O2,15.113
Ca2CuBr2S2,20.332
Ca2CuCl2O2,14.813
Ca2CuCl2S2,20.384
Ca2CuI2O2,15.68
Ca2CuI2S2,20.416
Ca2F2,22.683
Ca2Fe2Si2,16.135
Ca2I2,24.25
Ca2Mn2Ge2,15.512
Ca2Mn2Si2,14.923
Ca2Mn2Sn2,16.903
Ca2N,11.338
Ca2Sn4F12,31.755
Ca3Cu2Br2O4,15.121
Ca4As4,42.505
Ca4O12Te4,54.274
CaBr2,17.466333333333335
CaCl2,16.242333333333335
CaF2,15.114
CaF2O2,13.015
CaH2O2,11.46
CaH2S2,16.881
CaH4O4,15.289
CaI2,19.522666666666666
CaS2,11.096
CaSe2,11.492
CaTe2,12.97
Cd2Br2,16.141000000000002
Cd2Cl2,15.5835
Cd2F2,14.2895
Cd2H4O8Se2,30.5
Cd2I2,17.2455
Cd2Mn3O8,30.813
Cd2P2S6,34.282
Cd2P2Se6,37.79
Cd2P2Te6,43.813
Cd2S2,21.526
Cd2S4,35.158
Cd2Se2,23.287
Cd2Se4,33.807
Cd2Te2,23.856333333333335
Cd2Te4,38.653
Cd4Br4O4,46.151
Cd4I4O4,47.233
CdBr2,15.107666666666667
CdC4Cl2H4N2,29.354
CdCl2,13.979
CdClHO,11.971
CdF2,14.232
CdF2O2,11.707
CdGaInS4,13.7135
CdH2O2,11.058
CdH2S2,15.343
CdI2,17.148
CdO2,10.129
CdPb2Cl2O2,24.052
CdS2,15.143
CdSe2,10.338
CdTe2,12.248
Cl2Ge,14.879
Cl2Ge2,12.18
Cl2Ge2N2,12.466
Cl2Ge2O2,13.81
Cl2Ge2S2,18.026
Cl2Ge2Se2,19.411
Cl2Sb,11.392666666666665
Cl2Sb2,20.768
ClSSb,13.081499999999998
ClSbSe,13.687999999999999
ClSbTe,14.7985
Co2Br2,12.714500000000001
Co2Br2N2,11.823
Co2Br2O2,11.903
Co2Br2S2,15.06
Co2Br2Se2,16.574
Co2Br4O6Sb4,43.738
Co2Br6,36.3855
Co2Cl2,11.057
Co2Cl2N2,11.211
Co2Cl2O2,11.532
Co2Cl2S2,14.688
Co2Cl2Se2,16.175
Co2Cl6,32.168
Co2F2,9.032
Co2F2O4,10.774
Co2H2O4,10.86
Co2H2S4,14.923
Co2H4O8Se2,27.576
Co2I2,14.255
Co2I2N2,11.639
Co2I2O2,12.55
Co2I2S2,15.661
Co2I2Se2,17.19
Co2I6,42.7205
Co2Li2As2,13.926
Co2Li2P2,13.145
Co2Li2Sb2,16.935
Co2Na2As2,14.447
Co2Na2P2,13.599
Co2Na2Sb2,18.262
Co2O2,11.048333333333332
Co2P2S6,29.299
Co2P2Se6,33.643
Co2P2Te6,39.029
Co2Pd2P2,12.282
Co2S2,11.0002
Co2S4,23.5945
Co2S6,17.257
Co2Se2,11.7566
Co2Se4,19.606
Co2Se6,17.49
Co2Te2,13.719
Co2Te4,22.746
Co2Te6,21.974
Co4Br4O4,32.795
Co4S8,35.602
Co8Ta4Te8,42.809
CoBr2,12.731666666666667
CoC2N2S2,18.634
CoC4Cl2H4N2,24.059
CoC4H8N2O4,41.594
CoCl2,11.422333333333333
CoCl2O8,20.619
CoF2,10.942
CoH2,5.152
CoH2O2,8.487
CoHfBr6,37.108
CoHfF6,26.269
CoI2,14.484
CoLi2,5.892
CoO2,7.5873333333333335
CoRe2O8,27.6
CoS2,8.855333333333334
CoSe2,9.622
CoTe2,11.159666666666666
CoZrBr6,37.495
Cr2BO2,7.083
Cr2BS2,8.079
Cr2BSe2,8.505
Cr2Br2,12.381
Cr2Br2N2,12.867
Cr2Br2O2,12.914
Cr2Br2S2,16.814
Cr2Br2Se2,18.282
Cr2Br4C16H16N8,97.781
Cr2Br6,35.992
Cr2C,6.955
Cr2C16Cl4H16N8,97.518
Cr2C16H16I4N8,98.119
Cr2CO2,7.321
Cr2CS2,8.068
Cr2Cl2,11.893
Cr2Cl2N2,12.571
Cr2Cl2O2,12.525
Cr2Cl2S2,16.421
Cr2Cl2Se2,17.833
Cr2Cl6,31.817
Cr2Cu2O8,31.499
Cr2Cu2P4S12,62.162
Cr2F2,8.525500000000001
Cr2F2N,7.878
Cr2F4,20.369
Cr2Ge2Te6,41.167
Cr2H2NO2,7.987
Cr2I2,12.096
Cr2I2N2,13.056
Cr2I2S2,17.507
Cr2I2Se2,19.0
Cr2I6,42.532
Cr2Mo2S8,33.758
Cr2Mo2Se8,37.064
Cr2Mo2Te8,42.794
Cr2N,6.199
Cr2Nb2Se10,36.515
Cr2O2,12.682
Cr2P2S6,30.75
Cr2P2Se6,35.446
Cr2P2Te6,40.374
Cr2S2,11.65
Cr2S4,25.0955
Cr2Se2,12.39
Cr2Se4,28.35
Cr2Si2Te6,40.272
Cr2Ta4O12,47.81
Cr2Te4,46.377
Cr2Te6,22.349
Cr2W2S8,33.89
Cr2W2Se8,37.176
Cr2W2Te8,42.948
Cr3C2,7.426
Cr3C2F2,7.571
