Formula,Valence band maximum (HSE06)
Cu4Cl4O4,-7.2
Cu4O12Te2,-7.871
F2Ge,-4.645
F2Ge2,-4.852
F2Si2,-4.33
Fe2P2Te6,-1.62
Fe2S4,-2.5
Fe2Se4,-1.663
Fe2Te4,-0.533
FeBr2,-2.09
FeCl2,-2.3335
FeGa2S4,-2.383
FeH2O2,-1.553
FeHfBr6,-3.648
FeHfCl6,-4.036
FeHfF6,-5.215
FeHfI6,-2.746
FeI2,-1.3015
FeZn2C6N6,-6.165
FeZrBr6,-3.678
FeZrCl6,-4.084
FeZrF6,-5.309
FeZrI6,-2.799
Ga2Br2O2,-3.841
Ga2Br2S2,-3.551
Ga2Br2Se2,-2.964
Ga2Br6,-4.9559999999999995
Ga2Cl2,-4.169
Ga2Cl2O2,-5.287
Ga2Cl2S2,-3.616
Ga2Cl2Se2,-2.982
Ga2Cl2Te2,-5.205
Ga2Cl6,-6.1165
Ga2Ge2Te2,-2.421
Ga2H2O8Se2,-6.173
Ga2I2,-3.623
Ga2I2O2,-1.556
Ga2I2S2,-2.55
Ga2I2Se2,-2.624
Ga2I6,-3.2175000000000002
Ga2In2S6,-4.742
Ga2O2,-4.061
Ga2P2Te6,-1.154
Ga2S2,-3.042
Ga2Se2,-2.8349999999999995
Ga2Te2,-1.843
GaAs,-3.626
GaN,-4.331
GaP,-3.841
Ge2,-2.378
Ge2H2,-3.254
Ge2I2N2,-0.961
Ge2P2S6,-2.676
Ge2P2Se6,-2.084
Ge2P2Te6,-1.458
Ge2S2,-2.1705
Ge2S4,-2.26
Ge2Se2,-1.7415
Ge2Se4,-1.777
Ge2Te2,-0.74
Ge2Te4,-2.339
GeH2O2,-2.284
GeI2,-3.2645
GeO,-4.439
GeO2,-6.751666666666666
GeS,-4.015
GeS2,-3.013666666666667
GeSe,-3.595
GeSe2,-2.4465
GeTe,-2.645
GeTe2,-1.716
H2Si2,-3.688
Hf2Br2N2,-3.1575
Hf2Br4,-0.576
Hf2CO2,-0.859
Hf2Cl2N2,-3.52
Hf2Cl4,-0.822
Hf2Ge2Te8,-2.489
Hf2I2N2,-1.5895
Hf2I4,0.115
Hf2O6,-4.433
Hf2P2S6,-2.468
Hf2P2Se6,-1.785
Hf2P2Te6,-0.744
Hf2S2,0.299
Hf2S6,-1.519
Hf2Se2,0.238
Hf2Se6,-0.464
Hf2Te10,-2.252
Hf2Te2,0.69
Hf2Ti2S8,-3.449
Hf2Ti2Se8,-2.543
Hf2Ti2Te8,-1.17
Hf2Zr2S8,-3.574
Hf2Zr2Se8,-2.779
Hf2Zr2Te8,-1.39
Hf3C2O2,0.167
Hf3N2O2,2.43
