Formula,Band gap
Cr2Mo2Se8,0.819
Cr2Mo2Te8,0.556
Cr2P2Se6,0.431
Cr2Si2Te6,0.272
Cr2Ta4O12,0.205
Cr2W2S8,0.941
Cr2W2Se8,0.759
Cr2W2Te8,0.497
Cr3MoS8,0.899
Cr3MoSe8,0.707
Cr3MoTe8,0.467
Cr3WS8,0.863
Cr3WSe8,0.677
Cr3WTe8,0.443
CrClI,0.011
CrHO2,0.092
CrMo3S8,1.184
CrMo3Se8,0.951
CrMo3Te8,0.645
CrMoF6,0.313
CrO2,0.13866666666666666
CrS2,0.29233333333333333
CrSSe,0.391
CrSTe,0.1305
CrSe2,0.22833333333333336
CrSeTe,0.286
CrTe2,0.151
CrW3S8,1.126
CrW3Se8,0.882
CrW3Te8,0.543
Cs2Br2,4.08
Cs2C2F6O6S2,5.633
Cs2C6N6Se6,1.932
Cs2Cl2,4.46
Cs2F2,4.151
Cs2F2H6O6P2,5.59
CsC2I3N2,2.286
Cu2As4Cl2S3,1.198
Cu2Br2,1.509
Cu2Br2C4H4N2,0.69
Cu2Br2S4,0.934
Cu2Br2Se4,0.836
Cu2Br2Te4,0.873
Cu2Br6,0.0535
Cu2C2Cl2O2,2.508
Cu2C4H4O8,0.209
Cu2C6H8I2N2,0.838
Cu2Cl2,1.3375
Cu2Cl2Se4,0.829
Cu2Cl2Te4,0.853
Cu2Cl6,0.213
Cu2F2,0.016
Cu2F4,0.825
Cu2Ge2O6,0.086
Cu2H4O10Se2,0.609
Cu2Hg2Cl2Se2,0.833
Cu2I2,1.826
Cu2I2S4,0.854
Cu2I2Se4,0.791
Cu2I2Te4,0.836
Cu2I4O12,0.735
Cu2MoO4,2.453
Cu2MoSe4,0.895
Cu2MoTe4,0.378
Cu2O2,0.0005
Cu2O4S,2.053
Cu2O6Si2,0.425
Cu2PtC6N8,1.623
Cu2ReBr6,0.085
Cu2ReCl6,0.467
Cu2ReF6,0.872
Cu2ReI6,0.18
Cu2S2,0.208
Cu2S4Sb2,0.357
Cu2Sb2Se4,0.183
Cu2Se2,0.08940000000000001
Cu2WO4,2.908
Cu2WS4,1.534
Cu2WSe4,1.235
Cu2WTe4,0.654
Cu3O4P,1.29
Cu4Cl4H4O4,0.403
Cu4Cl4O4,0.313
Cu4F4H4O4,0.384
Cu4Li2V2O12,0.091
Cu4O12Te2,0.449
Cu4O12Te4,0.043
CuBr,1.024
CuC6H4N6O2,0.818
CuInP2Se6,0.489
CuLi2O2,0.323
CuV2O6,0.195
F2Ge,1.599
F2Ge2,0.118
F2Si2,0.666
Fe2Br6,0.042499999999999996
Fe2Cl6,0.194
Fe2I2,0.012
Fe2Mo2Cl2O8,0.951
Fe2P2Te6,0.126
Fe2S4,0.654
Fe2Se4,0.2875
Fe2Te4,0.141
Fe2W2Cl2O8,1.085
FeBr2,0.332
FeCl2,0.39799999999999996
FeF2,0.135
FeGa2S4,0.862
FeHfBr6,0.938
FeHfCl6,1.092
FeHfF6,1.221
FeHfI6,0.781
FeI2,0.2986666666666667
FeMn2C6N6,1.836
FeSn2C6N6,3.525
FeZn2C6N6,3.938
FeZrBr6,0.871
FeZrCl6,1.048
FeZrF6,1.206
FeZrI6,0.661
Ga2Br2,2.125
Ga2Br2O2,2.515
Ga2Br2S2,1.485
Ga2Br2Se2,0.736
Ga2Br6,1.972
Ga2Cl2,2.396
Ga2Cl2O2,3.674
Ga2Cl2S2,1.417
Ga2Cl2Se2,0.606
Ga2Cl2Te2,2.163
Ga2Cl6,3.177
Ga2F4H10N4,2.656
Ga2Ge2Te2,0.674
Ga2H2O8Se2,4.295
Ga2I2,1.786
Ga2I2O2,1.001
Ga2I2S2,0.833
Ga2I2Se2,0.822
Ga2I6,0.579
Ga2In2S6,1.981
Ga2NiS4,0.17
Ga2O2,0.778
Ga2P2Te6,0.285
Ga2S2,1.5003333333333335
Ga2Se2,1.0265
Ga2Te2,0.6415
GaAs,0.5595
GaN,1.877
GaP,1.583
Ge2,0.025
Ge2H2,0.92
Ge2P2S6,1.406
Ge2P2Se6,0.984
Ge2P2Te6,0.819
Ge2S2,0.857
Ge2S4,0.284
Ge2Se2,0.563
Ge2Te2,0.4075
Ge2Te4,0.032
Ge3O9Sb2,3.766
GeH2O2,1.121
GeI2,1.483
GeO,2.133
GeO2,2.701333333333333
GeS,2.45
GeS2,0.691
GeSe,2.218
GeSe2,0.18799999999999997
GeTe,1.474
H2Si2,2.171
H4O10Si4,5.471
H4O12Te4,2.579
Hf2Br2N2,2.0095
Hf2Br4,0.852
Hf2CO2,0.938
Hf2Cl2N2,2.2155
Hf2Cl4,0.843
Hf2Ge2Te8,0.565
Hf2I2N2,1.065
Hf2I4,0.627
Hf2O6,3.47
Hf2P2S6,0.86
Hf2P2Se6,0.469
Hf2S2,0.0268
Hf2S6,1.157
Hf2Se2,0.0086
Hf2Se6,0.272
Hf2Te10,0.159
Hf2Te2,0.009600000000000001
Hf2Ti2S8,0.91
Hf2Ti2Se8,0.646
Hf2Ti2Te8,0.037
Hf2Zr2S8,1.129
Hf2Zr2Se8,0.841
Hf2Zr2Te8,0.166
Hf3C2O2,0.42
Hf3N2O2,0.32
Hf3TiS8,1.01
Hf3TiSe8,0.723
Hf3TiTe8,0.08
Hf3ZrS8,1.149
Hf3ZrSe8,0.844
Hf3ZrTe8,0.142
HfBr2,0.244
HfBrCl,0.416
HfBrI,0.3565
HfCl2,0.3026666666666667
HfClI,0.407
HfH2O2,0.413
HfI2,0.21
HfMnF6,0.697
HfMnI6,1.359
HfNa2H6O6,4.113
HfNiBr6,1.355
HfNiCl6,1.62
HfNiI6,0.862
HfO2,3.7273333333333336
HfS2,1.4586666666666666
HfSSe,0.7855000000000001
HfSTe,0.019
HfSe2,0.9756666666666667
HfSeTe,0.071
HfTe2,0.37333333333333335
HfTi3S8,0.858
HfTi3Se8,0.587
HfTi3Te8,0.052
HfZr3S8,1.154
HfZr3Se8,0.824
HfZr3Te8,0.213
Hg2Br2,0.0965
Hg2Cl2,0.067
Hg2GeO4,2.596
Hg2I2,0.6385
Hg2K4Cl8,3.33
Hg2O4,0.235
Hg2P2S6,1.02
Hg2P2Se6,0.606
Hg2P2Te6,0.363
Hg2Pt4Se6,0.153
Hg2Se2,0.084
Hg2Te2,0.055
Hg2V2O6,2.182
Hg3B2O6,3.522
Hg4I8,1.664
Hg4K2Cl6O6S2,3.268
Hg4Mo2O8,2.278
Hg4W2O8,2.506
HgBr2,1.854
HgCl2,2.333
HgF2,2.089
HgH2O2,0.772
HgH2S2,2.352
HgI2,1.1476666666666666
HgO,0.302
HgO2,0.126
HgS,0.065
HgSe,0.117
HgSe2,0.01
HgTe,0.153
I2Sb,0.006333333333333333
I2Sb2,0.3125
I6Sb2,1.826
ISSb,1.0065
ISbSe,1.0095
ISbTe,0.9244999999999999
In2Br2,1.696
In2Br2O2,2.29
In2Br2S2,1.908
In2Br2Se2,1.23
In2Br6,2.378
In2Cl2,1.925
In2Cl2O2,2.607
In2Cl2S2,1.797
In2Cl2Se2,1.067
In2Cl6,3.3120000000000003
In2F2,1.335
In2I2,1.3875
In2I2O2,1.191
In2I2S2,1.539
In2I2Se2,1.264
In2I6,1.127
In2O2,0.1925
In2P2S6,0.839
In2S2,0.6557999999999999
In2S4,0.41
In2Se2,1.0887499999999999
In2Se3,0.2175
In2Si2Te6,0.682
In2Te2,0.5945
In2Te4,0.2435
In2Te5,1.08
In2ZnS4,0.019
In4Br4Te4,2.024
In4Br8,1.643
In4I4Te4,1.732
InAs,0.3455
InLiI4O12,2.788
InN,0.616
InNaI4O12,2.81
InP,1.099
InSb,0.475
Ir2Br2O2,0.295
Ir2Br2S2,0.344
Ir2Br2Se2,0.052
Ir2Br6,0.7965
Ir2Cl2O2,0.444
Ir2Cl2S2,0.355
Ir2Cl2Se2,0.062
Ir2Cl6,1.045
Ir2I2S2,0.215
Ir2I6,0.6910000000000001
Ir2Nb2Te8,0.047
Ir2O2,0.04066666666666666
Ir2P2S6,0.057
Ir2P2Se6,0.064
Ir2P2Te6,0.225
Ir2S2,0.0676
Ir2Se2,0.1024
Ir2Ta2Te8,0.047
Ir4S8,0.692
Ir4Se8,0.824
Ir4Te8,0.551
K2Br2,4.374
K2C2H2O6,4.463
K2C2O6,1.05
K2C4,0.374
K2C4H6O6,4.672
K2C6H6O6,2.647
K2Cl2,4.882
K2Cl2O6,5.441
K2F2,4.964
K2I2,3.885
K2N2O6,3.166
K2Os2Br8N2O4,0.042
K2Os2F10N2O2,0.858
K2Pt2Cl6N2,0.268
Li2Cl2O4,3.347
Li2F2O2,2.912
Li2F2S2,1.69
Li2H2O2,3.935
Li2H2S2,3.969
Li2H4N2,2.805
Li2H4N2O6,2.637
Li2PtH6O6,2.833
Li2V4O10,0.309
Li4CO4,3.421
Li4O8Sb4,3.248
Li6H2O8Te2,4.037
LiC5H5N2O5,3.245
Mg2Cl4,4.504
Mg2Mo2O12Te2,3.167
Mg2P2S6,2.796
Mg2P2Se6,2.049
MgB2H8,6.082
MgBr2,4.079
MgCl2,5.332
MgF2O2,2.967
MgF2S2,2.514
MgH2O2,3.352
MgH2S2,3.508
MgI2,2.9195
MgNa2H4O8S2,4.454
Mn2Br2S4Sb2,0.124
Mn2Br2Sb2Se4,0.265
Mn2Br6,0.023
Mn2Cl2N2,0.176
Mn2Cl2S4Sb2,0.355
Mn2Cl6,0.0225
Mn2H4O8S2,2.112
Mn2I2Sb2Se4,0.054
Mn2I6,0.012
Mn2Mo2O12Te2,1.546
Mn2O8Se2,0.01
Mn2P2S6,0.108
Mn2P2Se6,0.1
MnBr2,1.6133333333333333
MnCl2,1.845
MnF12Sb2,1.742
MnH2O2,0.249
MnI2,1.0496666666666667
MnNa2F3O7P2,0.035
MnO2,0.3773333333333333
MnRe2O8,1.565
MnZrBr6,1.643
MnZrCl6,0.312
MnZrF6,0.66
MnZrI6,1.052
Mo2Br4O4,1.424
Mo2Cl6,0.573
Mo2I6,0.977
Mo2O10P2,1.04
Mo2O6,2.067
Mo2S4,0.092
Mo2Se4,0.0205
Mo2Ta2O11,2.566
Mo2V2O10,0.003
Mo2W2S8,1.532
Mo2W2Se8,1.27
Mo2W2Te8,0.862
Mo2Zn2O12Te2,3.118
Mo2Zn2O8,2.915
Mo2ZrO8,3.205
Mo3WS8,1.559
Mo3WSe8,1.3
Mo3WTe8,0.9
MoO2,0.304
MoOS,1.06
MoOSe,0.752
MoOTe,0.177
MoS2,0.5266666666666667
MoSSe,0.7265
MoSTe,0.598
MoSe2,0.4403333333333333
MoSeTe,0.571
MoTe2,0.3106666666666667
MoW3S8,1.532
MoW3Se8,1.258
MoW3Te8,0.804
Na2B2H8O8,4.681
Na2C2H6N8O2,4.819
Na2C2N2S2,4.121
Na2C4,0.004
Na2F2O2,2.813
Na2F2S2,1.846
Na2H2O2,3.153
Na2H2S2,3.56
Na2H8I2O4,3.591
Na2Nb2Cl12,2.287
Na2PtH6O6,2.835
Na2SnH6O6,3.937
Na2Ta2Cl12,2.792
Na4As4O8,4.333
Na4O8S4,2.385
Nb2Br4O2,1.038
Nb2Br4S4,1.556
Nb2Br4Se4,1.096
Nb2Cl4S4,1.61
Nb2Cl4Se4,1.08
Nb2I2O4,1.188
Nb2I4O2,1.024
Nb2P2S6,0.508
Nb3Br7S,0.81
Nb3Br8,0.293
Nb3Cl7Te,0.772
Nb3Cl8,0.206
Nb3I7Te,0.565
Nb3I8,0.193
Nb4Ge2Te8,0.416
Nb4I2Te12,0.673
Nb4O8,0.459
Nb4S12,0.376
Nb4Si2Te8,0.521
Ni2As2O7,0.452
Ni2Cl6,0.0035
Ni2P2S6,0.028
Ni2S4,0.824
Ni2Se4,1.015
Ni2Ta4Se10,0.032
Ni2Te4,0.921
NiBr2,0.292
NiC2N2S2,0.646
NiC4H8N2O4,1.326
NiC6Cl2H4N2,0.858
NiCl2,0.4063333333333334
NiCl2O8,1.554
NiH2O2,1.078
NiI2,0.035333333333333335
NiO2,0.427
NiPS3,0.075
NiRe2O8,1.575
NiS2,0.19433333333333333
NiSe2,0.02
NiZrBr6,1.301
NiZrCl6,1.598
NiZrF6,0.409
NiZrI6,0.851
O10P4,4.995
O14S2Te4,3.194
O4S8Sb8,1.879
O6Sb4,3.615
O8P2Sb2,4.374
O8Te4,2.667
OS2Sb2,0.595
OSb2Se2,0.513
OSb2Te2,0.479
Os2Cl6,0.0325
Os2O4,0.169
Os2P2S6,0.038
Os2S4,0.3205
Os2Se4,0.3555
Os2Te4,0.415
OsBr2,0.43133333333333335
OsCl2,0.5223333333333334
OsH2O2,0.829
OsI2,0.3666666666666667
OsO2,0.08833333333333333
P2,1.929
P2Sb2Se6,0.974
P2Sb2Te6,0.508
P4,0.903
P8Si4,1.539
Pb2Br2,0.219
Pb2Br4,2.239
Pb2Cl2,0.21
Pb2F2,0.122
Pb2I2N2,0.008
Pb2O2,0.9466666666666668
Pb2P2S6,1.365
Pb2P2Se6,0.971
Pb2P2Te6,0.671
Pb2S2,0.5846666666666667
Pb2S4,1.083
Pb2Se2,0.32925000000000004
Pb2Se4,0.728
Pb2Se6,0.578
Pb2Te2,0.24
Pb2Te4,0.115
Pb2Te6,0.268
Pb4O4,2.614
PbBr2,1.9799999999999998
PbCl2,2.361
PbF2,2.579
PbF4,2.704
PbH2O2,1.567
PbI2,1.4563333333333333
PbO,1.801
PbO2,0.8393333333333333
PbS,1.82
PbS2,0.9390000000000001
PbSb2Te4,0.302
PbSe,1.532
PbSe2,0.46799999999999997
PbTe,0.93
PbTe2,0.041666666666666664
PbWO4,2.722
Pd2Br6,0.004
Pd2Cl4,0.866
Pd2Cl6,0.0005
Pd2F2,0.4325
Pd2I4O12,1.034
Pd2I6,0.015
Pd2N4O12,1.431
Pd2O6Se2,0.8780000000000001
Pd2P2S6,0.014
Pd2S4,1.12
Pd2Se4,1.313
Pd2Te4,1.212
Pd3P2S8,1.75
Pd4I8,1.069
Pd4P4S4,1.195
Pd4P4Se4,1.103
Pd4Tl2Se6,0.834
Pd6Ta4Te10,0.001
PdBr2,0.066
PdCl2,0.15433333333333335
PdF2,0.027
PdO2,0.45966666666666667
PdS2,0.39033333333333337
PdSe2,0.26233333333333336
Pt2Br2N2,0.118
Pt2Br6,0.0025
Pt2Cl2,0.654
Pt2Cl2N2,0.354
Pt2Cl6,0.0135
Pt2O2,0.144
Pt2P2S6,0.053
Pt2P2Se6,0.414
Pt2S2,0.0062
Pt2S4,1.802
Pt2Se4,1.441
Pt2Ta4Se14,0.014
Pt2Te4,1.309
Pt4I8,1.225
Pt4Tl2S6,1.253
Pt4Tl2Se6,1.132
Pt4Tl2Te6,0.663
PtBr2,0.050666666666666665
PtCl2,0.13433333333333333
PtF2,0.02
PtO2,0.5579999999999999
PtS2,0.5626666666666666
PtSe2,0.389
PtTe2,0.10099999999999999
Rb2Br2,4.18
Rb2Br2F8,3.487
Rb2C2F6O6S2,5.749
Rb2C4,0.476
Rb2Cl2,4.651
Rb2F2,4.557
Rb2I2,3.714
Re2Br2,0.05
Re2Br6,0.0695
Re2I4,0.111
Re2I6,0.1375
Re2S2,0.05925
Re2ZnO8,3.966
Re4O8,1.304
Re4S8,1.272
Re4Se8,1.115
Re4Te8,0.817
Re6Cl2Se8,1.194
Rh2Br2S2,0.043
Rh2Br4,0.089
Rh2Br6,0.8075000000000001
Rh2Cl2O2,0.04
Rh2Cl2S2,0.011
Rh2Cl2Te2,1.038
Rh2Cl4,0.413
Rh2Cl6,0.905
Rh2I6,0.4955
Rh2O2,0.022333333333333334
Rh2P2Se6,0.032
Rh2P2Te6,0.108
Rh2Se2,0.020200000000000003
Rh2Ta2Te8,0.076
Rh4S8,0.597
Rh4Se8,0.583
Ru2F8,0.628
Ru2O4,0.045
Ru2P2S6,0.326
Ru2P2Se6,0.1
Ru2P2Te6,0.2
Ru2S4,0.3625
Ru2Se4,0.441
Ru2Se6,0.243
Ru2Te4,0.3995
RuBr2,0.441
RuCl2,0.548
RuH2O2,0.506
RuI2,0.3406666666666667
S2Sb2,0.12066666666666666
S2Sb2Se,0.599
S2Sb2Te,0.803
S2Si,1.383
S2Si2,0.7085
S3Sb2,0.599
S8Si4,3.428
SSb2Se2,0.466
SSb2Te2,0.474
Sb2,0.983
Sb2Se2,0.225
Sb2Se2Te,0.573
Sb2Se3,0.421
Sb2SeTe2,0.4
Sb2Te3,0.337
Sb4,0.18
Sc2Br2O2,3.21
Sc2Br2S2,2.13
Sc2Br2Se2,1.51
Sc2Br6,2.8075
Sc2CCl2,0.883
Sc2CF2,1.02
Sc2CH2O2,0.424
Sc2Cl2O2,4.243
Sc2Cl2S2,2.109
Sc2Cl2Se2,1.409
Sc2Cl6,3.5775
Sc2I2O2,1.812
Sc2I2S2,1.662
Sc2I2Se2,1.393
Sc2I6,1.857
Sc2O13Te5,3.167
Sc2O2,0.2333333333333333
Sc2P2S6,0.827
Sc2P2S8,1.896
Sc2P2Se6,0.684
Sc2S2,0.0832
Sc2Se2,0.0804
Sc2Te2,0.0586
Sc4I4O4,1.792
Sc4S6,1.515
ScBr2,0.052333333333333336
ScCl2,0.035666666666666666
ScH2,0.366
ScI2,0.035333333333333335
ScO2,0.732
ScS2,0.23933333333333331
ScSe2,0.18666666666666668
Se2Si,0.467
Se2Si2,0.5975
Si2,0.002
Si2Te2,0.194
Sn2,0.065
Sn2Br2,0.0175
Sn2Br2N2,1.366
Sn2C2H6O6P2,4.034
Sn2Cl2,0.0155
Sn2Cl2N2,1.406
Sn2F2,0.316
Sn2F2O6P2,3.985
Sn2H2,0.236
Sn2H2O6P2,4.3
Sn2I2N2,1.069
Sn2O2,1.8423333333333334
Sn2O6P2,0.699
Sn2O8S2,4.382
Sn2P2S6,1.038
Sn2P2Se6,0.719
Sn2P2Te6,0.431
Sn2S2,0.7404999999999999
Sn2Se2,0.5035000000000001
Sn2Se4,0.476
Sn2Te2,0.3155
SnBr2,1.9553333333333331
SnCl2,2.174
SnF2,1.641
SnF4,4.082
SnH2O2,0.893
SnI2,1.619
SnO,1.706
SnO2,1.8163333333333334
SnS,2.289
SnS2,1.2626666666666666
SnSe,2.177
SnSe2,0.5406666666666666
SnTe,1.582
SnTe2,0.13
Sr2Br2H2,4.354
Sr2Cl4O8,2.726
Sr2F2I2,4.219
Sr2H8O6,4.396
Sr2O12P4,5.087
SrBr2,4.603666666666666
SrCl2,5.316333333333334
SrF2,6.021
SrF2O2,2.862
SrH2O2,3.702
SrH2S2,3.805
SrI2,3.7726666666666664
Ta2I2,0.023
Ta2I4O2,0.861
Ta2P2Se6,0.294
Ta2P2Te6,0.179
Ta3I7Se,0.665
Ta3I7Te,0.643
Ta4O8,0.582
Ta4Se12,0.005
TaO2,0.18466666666666667
Ti2Br2,0.0095
Ti2Br2N2,0.621
Ti2Br6,0.085
Ti2CO2,0.325
Ti2Cl2,0.0065
Ti2Cl2N2,0.62
Ti2Cl4,0.32
Ti2Cl6,0.064
Ti2I2N2,0.062
Ti2I4,0.155
Ti2I6,0.209
Ti2O4,2.855
Ti2O6,2.461
Ti2S2,0.0108
Ti2S6,0.295
Ti2Se2,0.0082
Ti2Se6,0.007
Ti2Te2,0.0654
Ti2Zr2S8,0.845
Ti2Zr2Se8,0.623
Ti2Zr2Te8,0.117
Ti3ZrS8,0.849
Ti3ZrSe8,0.579
Ti3ZrTe8,0.08
Ti4Br4Se4,0.063
Ti4Cl4Se4,0.042
Ti4I4Se4,0.006
Ti4O8,1.893
TiBr2,0.25266666666666665
TiBrCl,0.415
TiBrI,0.3395
TiCl2,0.301
TiClI,0.3725
TiH2,0.016
TiI2,0.19866666666666666
TiO2,2.459
TiS2,0.6739999999999999
TiSSe,0.2525
TiSTe,0.0465
TiSe2,0.4666666666666666
TiSeTe,0.0325
TiTe2,0.13666666666666666
TiZr3S8,0.997
TiZr3Se8,0.706
TiZr3Te8,0.189
Tl2Br2,2.7365
Tl2Br2O2,1.013
Tl2Br6,1.3765
Tl2Cl2,3.144
Tl2Cl2O2,1.03
Tl2Cl4,1.909
Tl2Cl6,2.054
Tl2I2,2.231
Tl2I2O2,0.312
Tl2I2S2,0.253
Tl2I6,0.432
Tl2O6Sb2,2.828
Tl2S2,0.32525000000000004
Tl2Se2,0.23575000000000002
Tl2Te2,0.15825
V2Cl6,0.0115
V2F2,0.0155
V2F2O7Te2,1.013
V2F8,0.597
