Formula,Thermodynamic stability level
BiSe2,1.3333333333333333
BiTaAs,1.0
BiTaSb,1.0
BiTe2,1.0
BiTiAs,2.0
BiTiSb,2.0
BiVAs,1.0
BiVSb,1.0
BiWAs,1.0
BiWSb,1.0
BiZrAs,2.0
BiZrSb,2.0
Br2Ge,3.0
Br2Ge2,2.0
Br2Ge2N2,2.0
Br2Ge2O2,2.0
Br2Ge2S2,3.0
Br2Ge2Se2,3.0
Br2Sb,2.0
Br2Sb2,2.5
Br6Sb2,3.0
BrSSb,3.0
BrSbSe,3.0
BrSbTe,3.0
C2,3.0
C2F2,2.0
C2H2,3.0
C6N2,1.0
C6N8,1.0
C6P2,1.0
C6Sb2,1.0
CF2Si,2.0
CH2Si,3.0
CN,1.0
CP,1.0
Ca2Br2,2.0
Ca2Br2H2,3.0
Ca2C,1.0
Ca2C2F2O6,3.0
Ca2Cl2,2.5
Ca2Cl4H8O4,3.0
Ca2Cl4O8,3.0
Ca2CoO3,2.0
Ca2CuBr2O2,3.0
Ca2CuBr2S2,2.0
Ca2CuCl2O2,3.0
Ca2CuCl2S2,2.0
Ca2CuI2O2,3.0
Ca2CuI2S2,3.0
Ca2F2,2.0
Ca2Fe2Si2,3.0
Ca2I2,2.0
Ca2Mn2Ge2,2.0
Ca2Mn2Si2,3.0
Ca2Mn2Sn2,1.0
Ca2N,2.0
Ca2Sn4F12,3.0
Ca3Cu2Br2O4,3.0
Ca4As4,2.0
Ca4O12Te4,3.0
CaBr2,3.0
CaCl2,3.0
CaF2,2.0
CaF2O2,2.0
CaH2O2,3.0
CaH2S2,3.0
CaH4O4,2.0
CaI2,3.0
CaS2,2.0
CaSe2,2.0
CaTe2,2.0
Cd2Br2,2.5
Cd2Cl2,2.5
Cd2F2,2.5
Cd2H4O8Se2,3.0
Cd2I2,2.0
Cd2Mn3O8,3.0
Cd2P2S6,3.0
Cd2P2Se6,3.0
Cd2P2Te6,3.0
Cd2S2,2.5
Cd2S4,2.0
Cd2Se2,2.5
Cd2Se4,2.0
Cd2Te2,2.3333333333333335
Cd2Te4,2.0
Cd4Br4O4,2.0
Cd4I4O4,2.0
CdBr2,3.0
CdC4Cl2H4N2,3.0
CdCl2,3.0
CdClHO,3.0
CdF2,2.0
CdF2O2,2.0
CdGaInS4,2.5
CdH2O2,3.0
CdH2S2,3.0
CdI2,3.0
CdO2,1.0
CdPb2Cl2O2,3.0
CdS2,1.5
CdSe2,1.0
CdTe2,2.0
Cl2Ge,3.0
Cl2Ge2,2.0
Cl2Ge2N2,2.0
Cl2Ge2O2,2.0
Cl2Ge2S2,3.0
Cl2Ge2Se2,3.0
Cl2Sb,2.0
Cl2Sb2,2.5
ClSSb,3.0
ClSbSe,3.0
ClSbTe,3.0
Co2Br2,1.0
Co2Br2N2,1.0
Co2Br2O2,3.0
Co2Br2S2,3.0
Co2Br2Se2,3.0
Co2Br4O6Sb4,3.0
Co2Br6,3.0
Co2Cl2,2.0
Co2Cl2N2,1.0
Co2Cl2O2,3.0
Co2Cl2S2,3.0
Co2Cl2Se2,3.0
Co2Cl6,2.5
Co2F2,2.5
Co2F2O4,2.0
Co2H2O4,3.0
Co2H2S4,3.0
Co2H4O8Se2,3.0
Co2I2,1.0
Co2I2N2,1.0
Co2I2O2,2.0
Co2I2S2,3.0
Co2I2Se2,3.0
Co2I6,2.0
Co2Li2As2,3.0
Co2Li2P2,3.0
Co2Li2Sb2,3.0
Co2Na2As2,3.0
Co2Na2P2,3.0
Co2Na2Sb2,3.0
Co2O2,2.0
Co2P2S6,3.0
Co2P2Se6,3.0
Co2P2Te6,3.0
Co2Pd2P2,2.0
Co2S2,2.4
Co2S4,2.5
Co2S6,2.0
Co2Se2,2.2
Co2Se4,3.0
Co2Se6,3.0
Co2Te2,2.2
Co2Te4,3.0
Co2Te6,1.0
Co4Br4O4,3.0
Co4S8,3.0
Co8Ta4Te8,3.0
CoBr2,3.0
CoC2N2S2,1.0
CoC4Cl2H4N2,3.0
CoC4H8N2O4,3.0
CoCl2,3.0
CoCl2O8,2.0
CoF2,3.0
CoH2,1.0
CoH2O2,2.0
CoHfBr6,3.0
CoHfF6,3.0
CoI2,2.3333333333333335
CoLi2,1.0
CoO2,2.3333333333333335
CoRe2O8,3.0
CoS2,2.0
CoSe2,2.3333333333333335
CoTe2,2.3333333333333335
CoZrBr6,3.0
Cr2BO2,2.0
Cr2BS2,2.0
Cr2BSe2,2.0
Cr2Br2,1.0
Cr2Br2N2,3.0
Cr2Br2O2,3.0
Cr2Br2S2,3.0
Cr2Br2Se2,3.0
Cr2Br4C16H16N8,2.0
Cr2Br6,3.0
Cr2C,1.0
Cr2C16Cl4H16N8,3.0
Cr2C16H16I4N8,2.0
Cr2CO2,2.0
Cr2CS2,2.0
Cr2Cl2,1.0
Cr2Cl2N2,3.0
Cr2Cl2O2,3.0
Cr2Cl2S2,3.0
Cr2Cl2Se2,3.0
Cr2Cl6,3.0
Cr2Cu2O8,3.0
Cr2Cu2P4S12,3.0
Cr2F2,2.0
Cr2F2N,3.0
Cr2F4,3.0
Cr2Ge2Te6,3.0
Cr2H2NO2,2.0
Cr2I2,1.0
Cr2I2N2,3.0
Cr2I2S2,3.0
Cr2I2Se2,3.0
Cr2I6,3.0
Cr2Mo2S8,3.0
Cr2Mo2Se8,3.0
Cr2Mo2Te8,3.0
Cr2N,1.0
Cr2Nb2Se10,3.0
Cr2O2,2.0
Cr2P2S6,3.0
Cr2P2Se6,3.0
Cr2P2Te6,3.0
Cr2S2,3.0
Cr2S4,2.5
Cr2Se2,3.0
Cr2Se4,2.5
Cr2Si2Te6,3.0
Cr2Ta4O12,2.0
Cr2Te4,1.0
Cr2Te6,3.0
Cr2W2S8,3.0
Cr2W2Se8,3.0
Cr2W2Te8,3.0
Cr3C2,1.0
Cr3C2F2,2.0
Cr3C2H2O2,2.0
Cr3C2O2,2.0
Cr3MoS8,3.0
Cr3MoSe8,3.0
Cr3MoTe8,3.0
Cr3N2,1.0
Cr3N2O2,2.0
Cr3Te4,3.0
Cr3WS8,3.0
Cr3WSe8,3.0
Cr3WTe8,3.0
Cr4C3,1.0
Cr4C3F2,2.0
Cr4C3H2O2,2.0
Cr4C3O2,2.0
Cr4F2N3,3.0
Cr4H2N3O2,3.0
Cr4N3,2.0
Cr4N3O2,3.0
CrAs2,1.0
CrAsSb,1.0
CrBr2,2.3333333333333335
CrBrCl,2.5
CrBrI,2.5
CrCl2,2.3333333333333335
CrClI,2.5
CrF2,2.0
CrGa2S4,3.0
CrGa2Se4,3.0
CrH2,1.0
CrH2O2,2.0
CrHO2,3.0
CrI2,2.6666666666666665
CrLi2,1.0
CrMo3S8,3.0
CrMo3Se8,3.0
CrMo3Te8,3.0
CrMoF6,3.0
CrNbF6,3.0
CrO2,2.6666666666666665
CrS2,2.6666666666666665
CrSSe,3.0
CrSTe,2.5
CrSb2,1.0
CrSe2,2.6666666666666665
CrSeTe,2.5
CrTe2,2.3333333333333335
CrW3S8,3.0
CrW3Se8,3.0
CrW3Te8,3.0
Cs2Br2,3.0
