formula,2Dpfx,2Dpfy,CBM_GW,CBM,CBM_HSE06,Dgap_gw,Dgap_WSOC,Dgap,EBE,gp_gw,gp_HSE06,GWSOC,VBM_gw,VBM,VL,Eng,area,TDSL,CBM_HSE06.1,Eng
LaSe,8.287407555555552,8.458329222222217,-0.622966111111111,-0.7952514285714274,-1.867434014969352,4.892583888888886,1.8142858,1.7094110000000002,1.5115650000000005,4.892676666666667,2.9355733333333327,1.7431648333333325,-3.763670000000002,-2.455558888888887,2.251950047619046,9.607151900957298,20.53759633333333,2.0,-1.867434014969352,9.607151900957298
LaTe,9.149913333333336,8.934819444444438,-0.5272552777777778,-0.7217823809523802,-1.7920492130665122,3.824918888888888,1.5716729,1.6575116666666665,1.1655433333333334,3.335516666666666,2.3153572222222216,1.5677162499999993,-3.42735,-1.8728694444444431,2.432548857142855,10.483816153731972,20.683236666666662,2.0,-1.7920492130665122,10.483816153731972
TiO,6.664879555555558,5.932256000000002,-0.5627814166666663,-0.7315190476190484,-1.5458920332245234,4.83369388888889,2.086483666666666,2.563231666666665,1.847515000000001,4.568613333333334,3.454431111111111,2.0894175000000006,-4.534792666666664,-2.2311311111111114,2.32757895238095,-3.391010282537586,13.489681333333328,2.0,-1.5458920332245234,-3.391010282537586
TiS,6.937129111111116,6.210536277777778,-0.6696169999999995,-0.8552395238095234,-1.582120074646023,3.7185438888888895,1.5536150333333336,1.6675016666666669,1.2835200000000002,3.9851833333333326,2.198646111111111,1.5209566666666674,-3.8479933333333305,-2.1047272222222224,2.6338612380952364,6.944871805505343,14.07784433333334,2.0,-1.582120074646023,6.944871805505343
TiSe,6.811906222222224,6.526758611111108,-0.496174972222222,-0.7894395238095233,-1.4947052369641194,3.3822333333333336,1.271826200000001,1.3606053333333332,1.0672283333333332,3.164473333333332,1.6450119444444442,1.2629826666666673,-3.639741999999999,-1.8139166666666653,2.581288238095235,10.99385046121386,15.254560333333334,2.0,-1.4947052369641194,10.99385046121386
TiTe,7.628108166666667,7.801304277777773,-0.3321111388888891,-0.6114804761904761,-1.3883542475603208,3.060959444444445,1.0944103666666667,1.3081896666666668,0.7325349999999998,3.012696666666668,1.631574166666666,1.1675035833333334,-3.3376313333333334,-1.3445755555555543,2.7909485238095217,15.338117983813,16.02101666666666,2.0,-1.3883542475603208,15.338117983813
ZrO,7.637170722222222,6.101513000000002,-0.3861498055555555,-0.3234333333333333,-0.7231167755233353,4.306515000000004,2.2064125,2.387068333333333,1.7518449999999997,4.301603333333333,2.8367927777777786,1.8689638333333327,-4.329233333333332,-1.4891250000000018,3.1521034761904705,-7.025246216698182,14.921850333333332,2.0,-0.7231167755233353,-7.025246216698182
ZrS,7.2034910000000005,6.317217666666669,-0.5863821666666664,-0.5664523809523804,-1.1269166080110935,3.480437222222222,1.453077100000001,1.5203909999999998,1.1146333333333336,3.5763033333333336,1.6908244444444434,1.4121563333333338,-3.787846,-1.2753427777777775,3.4799621428571386,3.758838932510585,15.04926466666667,2.0,-1.1269166080110935,3.758838932510585
ZrSe,7.717882944444446,6.936874777777775,-0.5287327638888888,-0.5653809523809519,-1.293368760431817,3.172945000000001,1.3826035666666665,1.3144816666666668,1.1004600000000004,3.1549033333333325,1.616398333333334,1.2414915,-3.5825346666666675,-1.0967844444444443,3.6435490476190417,8.292047211239222,15.243820666666666,2.0,-1.293368760431817,8.292047211239222
ZrTe,8.341547611111112,8.442718833333332,-0.3836394861111112,-0.3403395238095237,-1.3509982718113625,2.856290000000002,1.197868133333334,1.183193333333333,0.7741416666666663,2.9172466666666668,1.6708430555555558,1.2008974166666668,-3.240186666666668,-0.6766299999999996,3.975677666666665,12.607821094395112,16.125267666666662,2.0,-1.3509982718113625,12.607821094395113
HfO,7.4314905,6.171154555555557,-0.2903900972222222,-0.3263985714285716,-0.258046224079207,4.112527222222221,2.2954397666666675,2.341991333333333,1.58272,4.089823333333334,2.196919444444444,1.7142735,-4.156719999999999,-1.0155750000000003,3.367093428571426,-3.2443008427790616,15.055652,2.0,-0.258046224079207,-3.2443008427790616
HfS,7.131962777777778,6.382968111111111,-0.534000833333333,-0.4304752380952384,-0.9676697133551536,3.274000555555556,1.448216,1.640634666666667,1.1039766666666664,3.4135533333333337,1.4708761111111108,1.305513166666667,-3.619090000000004,-1.0314549999999998,3.745204809523804,5.433948814088353,15.137714166666663,2.0,-0.9676697133551536,5.433948814088353
HfSe,7.339002722222223,7.010840666666668,-0.5348404583333329,-0.5151676190476184,-1.1664918302110785,2.958925555555558,1.296502966666666,1.370235,1.0964716666666672,3.0854533333333323,1.5858666666666663,1.163590166666666,-3.460576000000002,-0.9245288888888896,3.9078758095238046,9.444231922427718,15.477728999999997,2.0,-1.1664918302110785,9.444231922427718
HfTe,8.174395944444447,8.695223499999997,-0.388348277777778,-0.3355071428571426,-0.9906034151654796,2.717274444444446,1.1685779666666671,1.1384856666666665,0.6788116666666663,2.653846666666668,1.5616127777777775,1.1298334166666664,-3.124616000000002,-0.614996111111111,4.10325914285714,14.513242293930697,16.21888233333333,2.0,-0.9906034151654796,14.513242293930695
VO,6.3856397222222245,5.783490000000004,-0.5618452083333333,-0.980824761904762,-1.3048872693984097,4.410532222222227,1.8260061333333333,1.6643186666666665,1.6855683333333338,4.087563333333334,2.2951105555555555,1.7467590000000006,-4.470811999999996,-2.143810555555558,2.701051476190474,0.5538329265955895,11.538691666666669,2.0,-1.3048872693984097,0.5538329265955895
VS,6.55490827777778,5.9742941111111145,-0.5737936527777774,-0.7927757142857136,-1.0037345590208429,3.3645055555555587,1.2355833333333337,1.1221416666666668,1.228105,3.207383333333332,1.638818333333333,1.2913273333333333,-3.773101333333333,-1.754456111111112,2.942768428571428,5.929199774122559,12.657257333333336,2.0,-1.0037345590208429,5.929199774122559
VSe,6.562505888888892,6.203696777777776,-0.4458763749999999,-0.7148976190476186,-1.3117805084659977,3.088836666666668,1.0577241666666672,0.988186,1.0859683333333336,2.7371633333333336,1.2535405555555552,1.0224841666666662,-3.549959333333333,-1.4877483333333332,3.05015976190476,9.686003621900973,12.755263499999998,2.0,-1.3117805084659977,9.686003621900973
VTe,7.060905555555558,7.367038333333333,-0.2305368333333332,-0.5415385714285713,-1.406800431199649,2.8443505555555566,0.9044279000000004,0.8193636666666666,0.6611916666666665,2.729156666666667,1.1131786111111108,0.9255980833333328,-3.235857999999999,-1.0661988888888876,3.1720450952380945,13.571651370783172,13.981321333333335,2.0,-1.406800431199649,13.571651370783172
NbO,8.01676588888889,6.791125111111111,-0.1398634166666666,-0.0305566666666667,-0.3150949813653491,3.518112777777781,1.6987761,1.400392,1.6084633333333334,3.482343333333334,1.4347966666666665,1.3354463333333328,-3.989524666666665,-0.8067638888888887,3.703966952380948,-4.551852163034745,12.229624,2.0,-0.3150949813653491,-4.551852163034745
NbS,7.1604350000000005,6.547972277777782,-0.2927955972222222,-0.0051004761904761,-0.445304883073136,2.5285266666666675,1.1647321000000008,1.06083,1.1103850000000006,2.722143333333333,1.0677897222222217,1.0155951666666665,-3.314490000000001,-0.5150500000000006,4.073364809523807,2.146450336654766,13.544644166666664,2.0,-0.445304883073136,2.146450336654766
NbSe,7.447159944444445,7.214793333333331,-0.0268533194444444,0.0541780952380952,-0.5792990346539476,2.460804444444445,1.019559033333334,0.8070766666666667,0.9635933333333336,2.312933333333333,1.0033669444444444,0.8975891666666663,-3.081413333333335,-0.3893511111111113,4.334310666666664,6.393543585109455,13.608754333333335,2.0,-0.5792990346539476,6.393543585109455
NbTe,8.329644166666668,7.843661222222222,0.0694137361111111,0.09385,-0.7105620991271487,2.3262433333333368,0.9343507666666668,0.7456893333333329,0.6182466666666664,2.4451366666666674,0.9971136111111112,0.8591580833333333,-2.831265333333333,-0.0839677777777777,4.535214904761902,12.66587181759926,14.327106999999998,2.0,-0.7105620991271487,12.66587181759926
TaO,7.82979638888889,7.251885611111108,0.0201197916666667,0.2620099999999999,0.0801039803396976,3.655550000000002,1.8512809666666648,1.5651816666666665,1.4380466666666667,3.6426566666666673,1.28898611111111,1.551879333333333,-4.017634666666663,-0.5116566666666666,3.9865126666666617,-2.668056416232972,12.548165333333332,2.0,0.0801039803396976,-2.6680564162329716
TaS,7.800869166666665,7.178834888888888,-0.096703611111111,0.3722399999999999,-0.1280093138957979,2.503386666666666,1.2107769333333336,1.2449969999999997,0.9675466666666664,2.799296666666667,1.261437222222222,1.066987666666667,-3.3322060000000016,-0.250698888888889,4.404356238095235,6.021623911857937,13.718595666666666,2.0,-0.1280093138957979,6.021623911857937
TaSe,8.101423166666669,7.410453333333332,-0.0019465138888888,0.4165966666666666,-0.2516689988835202,2.473350555555556,1.0930152000000002,0.8864376666666668,0.9006466666666662,2.464776666666666,1.1403036111111111,0.9817861666666664,-3.1530313333333337,-0.0479483333333333,4.642862285714284,9.471457754798363,13.67683516666667,2.0,-0.2516689988835202,9.471457754798365
TaTe,8.422746000000004,8.40326777777778,0.2796165138888886,0.5537519047619044,-0.3710319684698377,2.2910088888888898,0.9189518333333336,0.7951979999999998,0.643328333333333,2.549700000000001,1.0519955555555554,0.9000472499999997,-2.796098666666668,0.2032211111111107,4.799357761904767,16.237680331355392,14.263622833333336,2.0,-0.3710319684698377,16.237680331355392
CrO,6.453848444444444,6.031850222222222,-0.7702313611111107,-1.3684076190476189,-1.4424418509344248,4.175131111111117,1.533003466666666,1.1928266666666665,1.7321083333333342,3.5870200000000008,1.910009444444446,1.3804993333333329,-4.449949333333331,-2.362047222222221,2.224269809523809,1.8101988089494647,11.254515666666665,2.0,-1.4424418509344248,1.8101988089494654
CrS,6.814936388888891,5.7084395,-0.5597759861111112,-0.70936619047619,-1.2766360347901289,3.14301277777778,1.0962293666666674,1.148056,1.1457533333333336,2.9380400000000004,1.2792622222222223,1.0965345000000004,-3.605538666666667,-1.8643200000000009,2.379741714285714,6.063996917414848,11.756381666666671,3.0,-1.2766360347901289,6.063996917414848
CrSe,6.654165500000004,5.884756388888888,-0.3699643333333334,-0.6389876190476186,-1.4236671598673252,2.8875800000000016,0.992457966666668,1.0622906666666665,1.037981666666667,2.3991100000000003,1.1409272222222229,0.8855900000000001,-3.367630666666667,-1.5231872222222216,2.408302095238093,9.112487776414936,12.043130333333336,2.0,-1.4236671598673252,9.112487776414937
CrTe,7.312068111111111,6.305079777777778,-0.17843225,-0.5766890476190472,-1.1171131937015806,2.6712672222222227,0.8422154333333334,0.7927746666666667,0.6878483333333332,2.4096200000000003,1.0657586111111117,0.880208,-3.137422,-1.1473555555555548,2.649193619047617,11.78715907928452,13.25948566666667,2.0,-1.1171131937015806,11.787159079284521
MoO,7.144500333333334,6.309247111111113,-0.1075798333333333,-0.7194228571428577,-0.3863225118944733,3.3646916666666704,1.3228655999999996,1.1125673333333332,1.5287199999999994,3.031146666666668,1.0293602777777775,1.0059274999999994,-3.731529333333332,-1.1942361111111124,3.8274175238095216,-0.2313388999394732,11.466101999999994,2.0,-0.3863225118944733,-0.2313388999394732
MoS,6.9115741111111095,5.892858333333335,-0.0222902083333333,-0.2415799999999999,-0.395065661330144,2.446659444444444,0.8842530666666678,0.8523833333333333,1.0242283333333335,2.1097100000000006,0.8595311111111105,0.8528558333333334,-3.194535333333336,-0.7905650000000004,4.244293714285711,3.504842685397108,12.1180145,2.0,-0.395065661330144,3.504842685397108
MoSe,7.275421777777777,6.193149444444444,0.0440086944444444,-0.2290247619047618,-0.4001778880552764,2.3428788888888885,0.7769511666666676,0.8906603333333333,0.9347866666666672,1.9460300000000008,0.7959949999999995,0.7047301666666668,-2.927416,-0.5936933333333333,4.441932428571424,6.170271370553003,12.289401666666665,2.0,-0.4001778880552764,6.170271370553003
MoTe,7.929637500000002,6.868310722222223,0.0833175833333334,-0.1007419047619044,-0.4597071984030892,2.2881977777777807,0.7479035666666678,0.7037426666666663,0.6962766666666667,2.228336666666668,0.8903149999999995,0.7379519999999999,-2.773216000000001,-0.4233227777777779,4.559799142857141,11.590373606276614,12.793641833333332,2.0,-0.4597071984030892,11.590373606276614
WO,7.773051388888888,7.390247388888887,0.3538930833333332,-0.1570776190476187,0.1629257413600002,3.492013333333335,1.6294195,1.2218206666666664,1.254071666666667,2.783916666666668,1.0580466666666668,1.227189499999999,-3.915374666666666,-0.884793888888888,4.169863238095231,3.4403228115144984,11.775813333333328,2.0,0.1629257413600002,3.4403228115144984
WS,7.643783944444449,6.735064,0.5056761250000003,0.5984642857142851,0.4782570563283571,2.429270555555554,1.0620437000000005,1.0164046666666666,0.9526983333333334,2.1521133333333333,1.0278005555555556,0.9619695,-3.157756000000003,-0.5975150000000001,4.57181142857143,4.760830865180409,12.558456333333332,2.0,0.4782570563283571,4.760830865180409
WSe,7.585906277777783,6.473929388888889,0.7118522638888891,0.6695638095238085,0.3332790330885942,2.399998333333332,0.9253257333333342,0.8412369999999999,0.8982133333333335,2.061973333333334,0.908478055555555,0.818162,-2.920804000000003,-0.3168416666666663,4.79069942857143,10.386891802805051,12.524607333333334,2.0,0.3332790330885942,10.386891802805053
WTe,7.966151833333339,7.163481833333332,0.7041839722222225,0.5987519047619037,0.1986403426644074,2.134163888888889,0.7562092000000008,0.6784793333333333,0.7518150000000005,1.9911666666666668,0.9563655555555556,0.7632881666666664,-2.7638120000000024,-0.0693544444444444,4.873443380952384,14.367430586224415,13.197571666666663,1.0,0.1986403426644074,14.367430586224415
MnO,5.755573611111112,5.469422722222225,-0.8392219027777782,-1.546585238095237,-1.801557465388848,4.994407777777782,1.579379433333334,1.357585,1.664723333333333,4.707606666666667,2.2015038888888903,1.4545435,-5.162056666666664,-2.754999444444442,2.1194074285714284,1.5019988547214709,11.995103333333338,2.0,-1.801557465388848,1.5019988547214709
MnS,6.190633166666669,4.977487111111112,-0.706993944444445,-0.9432938095238088,-1.1526081068679637,3.6737611111111095,1.5014765999999995,1.0721916666666669,1.0748866666666668,3.5405033333333336,1.6896083333333334,1.2914671666666673,-4.061861333333332,-2.471881666666665,2.2726980476190493,5.988675003164119,12.647853333333336,3.0,-1.1526081068679637,5.9886750031641185
MnSe,6.185104888888892,5.413114055555555,-0.6054252361111112,-0.8589976190476186,-1.134899206835752,3.324044444444446,1.2290334000000005,1.166267333333333,0.9733666666666666,2.856980000000001,1.3870252777777785,1.0675938333333337,-3.952608,-2.14711222222222,2.329572619047618,7.967405666182145,13.64068333333334,3.0,-1.134899206835752,7.967405666182145
MnTe,7.293319777777776,6.024835277777777,-0.5130662500000001,-0.664345238095237,-1.021461251208113,2.9349111111111137,1.0327090666666665,0.7654496666666666,0.6517933333333334,2.439220000000001,1.141523611111111,1.0548463333333336,-3.576259333333333,-1.562933333333333,2.5278721904761894,9.098289925400811,15.142725333333336,1.0,-1.021461251208113,9.098289925400813
TcO,6.940141000000003,6.054556555555557,-0.5071748472222217,-0.819755714285714,-1.0037844180656346,3.622539444444449,1.2733874,0.9017299999999996,1.583268333333333,3.227186666666668,0.9544683333333333,0.9813808333333331,-4.062164666666663,-1.2904044444444458,3.649288333333332,-0.107887289361102,11.000867000000005,2.0,-1.0037844180656346,-0.10788728936110203
TcS,6.783862166666664,5.495627944444443,-0.3977720416666666,-0.2867104761904762,-0.4144395591986966,2.643555000000001,0.9052538333333344,0.8013989999999999,1.073391666666667,2.4412000000000007,0.9609263888888891,0.8547374999999998,-3.395892,-0.7161811111111117,3.9500095714285695,4.639430099019691,11.637007166666669,2.0,-0.4144395591986966,4.639430099019691
TcSe,6.779012722222223,5.720253111111107,-0.2521812083333332,-0.1915623809523809,-0.38638312018499,2.4937150000000017,0.7859905333333339,0.8359853333333332,0.9167783333333333,2.277200000000001,0.9182977777777772,0.7774956666666665,-3.1010260000000005,-0.4949244444444444,4.237159142857138,8.276164788645424,11.956148166666662,2.0,-0.38638312018499,8.276164788645424
TcTe,7.116314944444445,6.354224388888888,-0.1254630555555555,-0.0295804761904762,-0.6363400908153889,2.5250816666666704,0.7190669333333337,0.7907556666666664,0.6262466666666665,2.076940000000001,0.923971944444444,0.7882501666666666,-2.893983333333333,-0.4239494444444442,4.39754119047619,11.724184055434344,12.697323,2.0,-0.6363400908153889,11.724184055434343
ReO,7.540708499999997,6.8361554444444455,-0.0449800833333333,-0.4257580952380956,-0.1998864951015181,3.5968594444444464,1.3313282333333334,1.0680308333333333,1.4272133333333334,2.922253333333333,0.8908325,1.1521036666666662,-3.955968666666663,-0.8217483333333327,4.1590411428571405,5.442803751918014,11.070107999999998,2.0,-0.1998864951015181,5.442803751918014
ReS,7.508502611111114,6.266305444444444,-0.0652027222222221,0.3162057142857145,0.1262443140608568,2.451991111111109,0.9949478666666672,0.9455606666666668,0.983428333333333,2.2773000000000003,0.9779902777777776,0.9097204999999996,-3.233492666666669,-0.3410027777777776,4.563626190476187,5.639675811265548,11.714960333333329,2.0,0.1262443140608568,5.639675811265548
ReSe,7.709254944444444,6.164993333333332,0.0671150833333333,0.4063838095238097,0.3021183554573577,2.478200555555556,0.8533731000000006,0.7459273333333333,0.8752183333333328,2.178573333333333,0.9286488888888887,0.8101989999999998,-3.009138666666669,-0.1579805555555556,4.759972809523806,10.835991313295253,11.97990616666666,1.0,0.3021183554573577,10.835991313295253
ReTe,7.829430111111113,6.68518588888889,0.3017779027777777,0.4317504761904762,0.0491454258614577,2.205446111111114,0.7167465000000004,0.6948683333333332,0.6247016666666662,1.8908333333333336,0.8523658333333332,0.7794939999999998,-2.732044666666666,-0.10904,4.848957190476192,13.482664000584094,12.700518499999992,1.0,0.0491454258614577,13.482664000584094
FeO,5.836343,5.510212666666666,-0.862264111111111,-2.048802857142856,-2.231622078978741,4.418555555555557,1.6018438000000006,1.062231666666667,1.6653566666666668,4.01064,1.894488888888889,1.3653993333333334,-4.886671333333328,-3.1736772222222185,2.1273085714285696,4.5641686563805735,10.776570666666666,2.0,-2.231622078978741,4.5641686563805735
FeS,6.563157833333333,5.934578499999999,-0.7787707361111113,-1.081393333333333,-0.7948097475382909,3.6563472222222217,1.2503601333333336,1.213546,1.081675,3.2097000000000007,1.6503405555555557,1.107352833333334,-3.8990599999999977,-2.4515966666666653,2.36137761904762,7.02692272261632,12.274283999999998,3.0,-0.7948097475382909,7.02692272261632
FeSe,6.603372944444445,5.681196499999996,-0.7473514444444443,-0.9198947619047616,-1.0386871760154,3.3147333333333338,1.059273133333334,1.1297809999999997,0.9468266666666656,2.768330000000001,1.5262638888888898,0.9657271666666672,-3.6349586666666647,-2.1556111111111105,2.3921138095238086,9.778639886524594,12.957829666666669,3.0,-1.0386871760154,9.778639886524594
FeTe,7.087078944444449,6.150173444444443,-0.6949346944444443,-0.7760690476190472,-1.1129591973820914,2.7450588888888925,0.9222294666666668,0.8711153333333332,0.6589283333333333,2.4303300000000005,1.256882777777778,0.9761864166666668,-3.254818666666665,-1.776946666666666,2.473910619047617,9.340938966903217,14.323686499999996,1.0,-1.1129591973820914,9.340938966903217
RuO,6.728061499999999,5.727948944444444,-0.8312064861111108,-1.449138571428571,-1.850373789783445,3.6119022222222257,1.129088233333334,0.8110713333333333,1.280708333333333,3.190916666666668,0.873198611111111,0.9503014999999996,-4.049641333333332,-1.9661677777777795,3.575804952380952,9.270213018885345,11.329290333333333,2.0,-1.850373789783445,9.270213018885343
RuS,6.831800222222219,5.69757544444444,-0.628688,-0.4813828571428568,-0.6517515140334191,2.456097222222224,0.9411401666666676,0.8086563333333332,0.8789616666666664,2.428080000000001,1.0424688888888891,0.9206411666666666,-3.360701333333332,-1.1845633333333323,3.805693619047618,10.30229710859097,11.432352500000004,2.0,-0.6517515140334191,10.30229710859097
RuSe,7.009275999999998,5.807592555555551,-0.480541291666667,-0.3175228571428572,-0.4073990719934242,2.350999444444445,0.8475166666666677,0.8863653333333332,0.8225816666666665,2.1792800000000003,1.0320941666666663,0.8614994999999999,-3.1919559999999985,-0.9264527777777776,4.005146047619045,13.642836342497285,11.737175333333328,2.0,-0.4073990719934242,13.642836342497283
RuTe,7.48747077777778,6.437573777777776,-0.4631797916666669,-0.3549552380952379,-0.5878743496009883,2.335500555555559,0.7706767666666675,0.7880343333333332,0.6174633333333334,2.03711,0.9826983333333332,0.8573389999999997,-3.0206733333333315,-0.8865750000000004,4.099324238095237,16.07002039495078,12.44512833333333,1.0,-0.5878743496009883,16.07002039495078
OsO,7.809058333333334,6.769247555555556,-0.3969519583333335,-0.7577923809523812,-1.3870815425800682,3.499550000000001,1.1866321333333327,0.9685149999999996,1.0679783333333328,2.927703333333334,1.015914722222223,1.1285026666666669,-4.020551999999999,-1.230246111111111,4.199075428571428,8.246749456630688,11.35702966666666,2.0,-1.3870815425800682,8.246749456630688
OsS,7.373470444444445,6.100833666666666,-0.2024479861111111,0.0875319047619047,-0.0899168161416482,2.381454444444444,0.9425116333333334,0.9572693333333332,0.8315249999999995,2.19666,1.167817222222222,1.001122,-3.2638353333333323,-0.7232505555555562,4.536114809523805,6.078039461667572,11.76354683333333,1.0,-0.0899168161416482,6.078039461667572
OsSe,7.569323833333333,5.872066444444443,-0.1058847499999999,0.1174347619047618,-0.3089719013024094,2.313095,0.8980214000000001,0.8397143333333332,0.7890649999999997,2.104943333333334,1.0288772222222222,0.8571064999999998,-3.0715086666666647,-0.5693888888888888,4.671942571428571,12.419775427972098,12.014837999999996,1.0,-0.3089719013024094,12.419775427972098
OsTe,7.7764521111111105,6.544046055555552,-0.0822247222222221,0.0462995238095237,-0.2400104571495464,2.0978555555555567,0.8380667333333337,0.8015670000000001,0.589803333333333,1.9201333333333328,0.9822397222222214,0.8713389999999994,-2.9031466666666663,-0.5749949999999998,4.703090380952384,14.753371452703648,12.580601333333329,1.0,-0.2400104571495464,14.753371452703647
CoO,6.105050333333332,5.548301388888889,-0.735229513888888,-2.300984761904758,-2.380586777497215,4.514931666666669,1.5495645666666658,1.027815,1.7702783333333327,4.207086666666666,1.9426883333333345,1.3415801666666665,-4.822838666666664,-3.3109694444444413,2.084049999999999,4.520445426375524,10.540237333333332,2.0,-2.380586777497215,4.520445426375524
CoS,6.518919055555555,5.840026388888885,-0.8250743749999995,-1.6023566666666664,-0.8610745060488696,3.77762388888889,1.4249830000000003,1.3417776666666663,1.1408550000000002,3.3701133333333337,1.8644811111111104,1.2418245000000008,-4.083634666666666,-2.6786022222222208,2.295170904761907,7.549202756369787,12.423566,3.0,-0.8610745060488696,7.549202756369787
CoSe,6.415520166666667,5.9868280555555495,-0.8669379861111104,-1.480691904761906,-1.031685141240429,3.38258777777778,1.2271943,1.2712613333333331,0.9957383333333332,3.045936666666668,1.658396944444445,1.1339288333333342,-3.785463333333333,-2.326845555555555,2.323890333333332,10.356671748313971,13.012700666666667,3.0,-1.031685141240429,10.356671748313971
CoTe,7.344809944444444,6.427063333333329,-0.8588498888888882,-1.368941904761907,-1.2996254148116988,2.7840988888888933,1.040869833333334,0.9705778333333336,0.6999416666666667,2.6732566666666675,1.36198,1.0732987500000002,-3.4194953333333302,-2.0461483333333343,2.3977740476190474,10.52427243322095,14.339672,1.0,-1.2996254148116988,10.52427243322095
RhO,6.824325111111112,5.507129555555555,-1.068079152777777,-2.0763233333333333,-2.4237999785829025,3.912749444444449,1.3278558333333337,1.011225,1.482846666666666,3.7549166666666673,1.3527522222222228,1.0840641666666666,-4.420527333333332,-2.7551599999999983,2.896188380952378,14.514676605568724,11.270091999999996,2.0,-2.4237999785829025,14.514676605568724
RhS,6.931758777777777,5.676467611111106,-0.8334943055555556,-1.3906661904761906,-1.0718584459474734,2.7312800000000013,1.0446964000000007,1.0663858333333334,0.984608333333334,2.600946666666667,1.3291077777777782,1.0672051666666669,-3.8128953333333313,-1.9163205555555551,3.206877380952382,13.775315503656373,11.962080500000004,2.0,-1.0718584459474734,13.775315503656373
RhSe,7.051377444444445,5.923444499999999,-0.7610681111111112,-1.217408571428572,-0.987822349612634,2.624801666666668,0.972720833333334,1.126062,0.8798533333333338,2.514196666666668,1.2152411111111112,1.0408415000000004,-3.566073333333332,-1.751228888888887,3.197909619047619,15.5841214486044,12.020382333333332,2.0,-0.987822349612634,15.5841214486044
